Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Nick Foles\FoleNi00,PHI,16,25,197,2,0,1,3,28,114.9,3,1,0,3,0,0,0,0,0,0,0
Michael Vick\VickMi00,PHI,6,14,105,0,0,0,0,56,69.0,7,79,0,34,0,0,0,0,0,0,0
LeSean McCoy\McCoLe01,PHI,0,0,0,0,0,0,0,0,,20,46,1,17,8,6,46,0,12,0,0
Bryce Brown\BrowBr02,PHI,0,0,0,0,0,0,0,0,,5,11,0,7,2,1,6,0,6,0,0
Chris Polk\PolkCh00,PHI,0,0,0,0,0,0,0,0,,2,3,0,3,0,0,0,0,0,0,0
DeSean Jackson\JackDe00,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,12,7,132,1,56,0,0
Brent Celek\CeleBr00,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,47,1,25,0,0
Zach Ertz\ErtzZa00,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,38,0,24,0,0
Jason Avant\AvanJa00,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,7,3,33,0,22,0,0
Riley Cooper\CoopRi00,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Eli Manning\MannEl00,NYG,24,52,334,2,3,1,4,49,56.1,0,0,0,0,0,0,0,0,0,0,0
Brandon Jacobs\JacoBr00,NYG,0,0,0,0,0,0,0,0,,11,37,0,7,3,0,0,0,0,1,1
David Wilson\WilsDa01,NYG,0,0,0,0,0,0,0,0,,6,16,1,5,1,0,0,0,0,0,0
Hakeem Nicks\NickHa01,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,12,9,142,0,49,0,0
Rueben Randle\RandRu00,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,13,6,96,2,26,0,0
Victor Cruz\CruzVi00,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,12,5,48,0,14,0,0
Brandon Myers\MyerBr00,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,35,0,24,0,0
Jerrel Jernigan\JernJe00,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,13,0,7,0,0
