Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Carson Palmer\PalmCa00,ARI,25,41,298,2,2,1,4,75,79.1,0,0,0,0,0,0,0,0,0,0,0
Andre Ellington\ElliAn00,ARI,0,0,0,0,0,0,0,0,,7,56,1,15,5,5,36,0,12,0,0
Rashard Mendenhall\MendRa00,ARI,0,0,0,0,0,0,0,0,,10,40,0,11,1,1,2,0,2,0,0
Stepfan Taylor\TaylSt00,ARI,0,0,0,0,0,0,0,0,,2,7,0,5,0,0,0,0,0,0,0
Larry Fitzgerald\FitzLa00,ARI,0,0,0,0,0,0,0,0,,1,4,0,4,12,6,117,1,75,1,1
Alfonso Smith\SmitAl22,ARI,0,0,0,0,0,0,0,0,,1,2,0,2,1,0,0,0,0,1,1
Brittan Golden\GoldBr00,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,53,0,53,0,0
Michael Floyd\FloyMi00,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,44,1,19,0,0
Rob Housler\HousRo01,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,32,0,12,0,0
Andre Roberts\RobeAn00,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,4,1,5,0,5,0,0
Jaron Brown\BrowJa03,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,5,0,5,0,0
Jim Dray\DrayJi00,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,4,0,4,0,0
Colin Kaepernick\KaepCo00,SFO,16,29,252,2,1,2,14,61,92.9,4,18,0,17,0,0,0,0,0,2,1
Frank Gore\GoreFr00,SFO,0,0,0,0,0,0,0,0,,25,101,0,32,0,0,0,0,0,0,0
Kendall Hunter\HuntKe00,SFO,0,0,0,0,0,0,0,0,,3,11,1,6,1,0,0,0,0,0,0
Marlon Moore\MoorMa02,SFO,0,0,0,0,0,0,0,0,,1,9,0,9,1,0,0,0,0,0,0
Bruce Miller\MillBr02,SFO,0,0,0,0,0,0,0,0,,2,6,0,3,2,1,11,0,11,0,0
Anthony Dixon\DixoAn00,SFO,0,0,0,0,0,0,0,0,,3,4,0,2,1,1,3,0,3,0,0
Vernon Davis\DaviVe00,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,11,8,180,2,61,0,0
Anquan Boldin\BoldAn00,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,8,3,28,0,15,0,0
Kyle Williams\WillKy01,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,14,0,14,0,0
Jonathan Baldwin\BaldJo00,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,9,0,9,0,0
Vance McDonald\McDoVa00,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,7,0,7,0,0
