Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Terrelle Pryor\PryoTe00,OAK,18,34,216,1,3,9,63,39,45.7,7,56,0,27,0,0,0,0,0,0,0
Darren McFadden\McFaDa00,OAK,0,0,0,0,0,,0,0,,16,52,0,8,3,3,31,0,16,0,0
Rashad Jennings\JennRa00,OAK,0,0,0,0,0,,0,0,,4,12,0,4,2,1,9,0,9,0,0
Jacoby Ford\FordJa01,OAK,0,0,0,0,0,,0,0,,1,1,0,1,2,1,11,0,11,0,0
Denarius Moore\MoorDe02,OAK,0,0,0,0,0,,0,0,,0,0,0,0,10,5,82,1,39,0,0
Rod Streater\StreRo00,OAK,0,0,0,0,0,,0,0,,0,0,0,0,7,3,46,0,18,0,0
Jeron Mastrud\MastJe20,OAK,0,0,0,0,0,,0,0,,0,0,0,0,2,1,13,0,13,0,0
Mychal Rivera\RiveMy00,OAK,0,0,0,0,0,,0,0,,0,0,0,0,3,2,10,0,6,0,0
Marcel Reece\ReecMa00,OAK,0,0,0,0,0,,0,0,,0,0,0,0,3,1,9,0,9,0,0
Brice Butler\ButlBr00,OAK,0,0,0,0,0,,0,0,,0,0,0,0,1,1,5,0,5,0,0
Andre Holmes\HolmAn00,OAK,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Alex Smith\SmitAl03,KAN,14,31,128,0,0,3,23,24,56.9,4,29,0,13,0,0,0,0,0,0,0
Jamaal Charles\CharJa00,KAN,0,0,0,0,0,0,0,0,,22,78,2,11,9,5,50,0,24,1,0
Dexter McCluster\McClDe00,KAN,0,0,0,0,0,0,0,0,,1,4,0,4,5,1,10,0,10,0,0
Dwayne Bowe\BoweDw00,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,46,0,18,0,0
Kevin Brock\BrocKe00,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,9,0,9,0,0
Junior Hemingway\HemiJu00,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,8,0,8,0,0
Donnie Avery\AverDo00,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,6,0,4,1,1
Sean McGrath\McGrSe00,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0
A.J. Jenkins\JenkA.00,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Knile Davis\DaviKn00,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,-1,0,-1,1,0
