Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Cam Newton\NewtCa00,CAR,23,32,221,2,0,3,26,35,111.6,11,50,1,19,0,0,0,0,0,0,0
DeAngelo Williams\WillDe02,CAR,0,0,0,0,0,0,0,0,,8,43,1,12,3,1,8,0,8,0,0
Mike Tolbert\TolbMi00,CAR,0,0,0,0,0,0,0,0,,7,35,0,22,4,4,29,1,10,0,0
Kenjon Barner\BarnKe00,CAR,0,0,0,0,0,0,0,0,,1,1,0,1,1,1,2,0,2,0,0
Ted Ginn\GinnTe00,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,80,0,35,0,0
Steve Smith\SmitSt01,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,42,0,21,0,0
Brandon LaFell\LaFeBr00,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,23,0,13,0,0
Greg Olsen\OlseGr00,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,21,1,16,0,0
Richie Brockel\BrocRi00,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,12,0,12,0,0
Domenik Hixon\HixoDo00,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,4,0,4,0,0
Mike Glennon\GlenMi00,TAM,30,51,275,1,0,3,26,29,80.1,3,2,0,2,0,0,0,0,0,2,0
Mike James\JameMi00,TAM,0,0,0,0,0,0,0,0,,10,39,0,15,5,4,25,0,20,0,0
Brian Leonard\LeonBr00,TAM,0,0,0,0,0,0,0,0,,1,7,0,7,7,6,32,0,11,0,0
Vincent Jackson\JackVi00,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,13,5,79,0,29,0,0
Tim Wright\WrigTi01,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,8,5,48,1,15,0,0
Tiquan Underwood\UndeTi00,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,47,0,24,0,0
Mike Williams\WillMi04,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,20,0,12,0,0
Eric Page\PageEr00,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,13,0,13,1,1
Skye Dawson\DawsSk00,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,9,0,9,0,0
Erik Lorig\LoriEr99,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0,2,0,0
Tom Crabtree\CrabTo00,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,0,0,0,0,0
