Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Aaron Rodgers\RodgAa00,GNB,24,29,285,2,0,2,3,76,130.6,6,31,0,14,0,0,0,0,0,0,0
Eddie Lacy\LacyEd00,GNB,0,0,0,0,0,0,0,0,,29,94,1,17,4,4,18,0,9,0,0
James Starks\StarJa00,GNB,0,0,0,0,0,0,0,0,,7,57,1,25,0,0,0,0,0,0,0
Jordy Nelson\NelsJo00,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,8,7,123,2,76,0,0
Jarrett Boykin\BoykJa00,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,89,0,27,0,0
Myles White\WhitMy00,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,35,0,15,0,0
Andrew Quarless\QuarAn00,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,13,0,8,0,0
John Kuhn\KuhnJo00,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,7,0,7,0,0
Christian Ponder\PondCh00,MIN,14,21,145,0,0,3,13,18,86.4,5,38,1,19,0,0,0,0,0,0,0
Adrian Peterson\PeteAd01,MIN,0,0,0,0,0,0,0,0,,13,60,1,17,3,3,23,0,13,0,0
Toby Gerhart\GerhTo00,MIN,0,0,0,0,0,0,0,0,,1,13,1,13,2,2,15,0,13,0,0
Kyle Rudolph\RudoKy00,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,51,0,17,0,0
Cordarrelle Patterson\PattCo00,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,26,0,17,0,0
Jerome Simpson\SimpJe00,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,18,0,18,0,0
Greg Jennings\JennGr00,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,9,0,9,0,0
John Carlson\CarlJo00,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,3,0,3,0,0
