Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Eli Manning\MannEl00,NYG,25,39,246,0,0,1,9,27,81.8,1,-1,0,-1,0,0,0,0,0,0,0
Peyton Hillis\HillPe00,NYG,0,0,0,0,0,0,0,0,,20,70,0,9,5,3,15,0,6,0,0
Michael Cox\CoxxMi00,NYG,0,0,0,0,0,0,0,0,,9,19,0,9,1,1,11,0,11,0,0
Victor Cruz\CruzVi00,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,10,7,86,0,26,0,0
Hakeem Nicks\NickHa01,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,12,7,51,0,22,0,0
Brandon Myers\MyerBr00,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,42,0,27,0,0
Jerrel Jernigan\JernJe00,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,29,0,12,0,0
John Conner\ConnJo00,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,12,0,12,0,0
Rueben Randle\RandRu00,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Steve Weatherford\WeatSt20,NYG,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0
Larry Donnell\DonnLa00,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Matt Barkley\BarkMa00,PHI,17,26,158,0,1,3,24,25,65.9,0,0,0,0,0,0,0,0,0,3,1
Michael Vick\VickMi00,PHI,6,9,30,0,1,1,12,11,31.9,1,1,0,1,0,0,0,0,0,1,0
LeSean McCoy\McCoLe01,PHI,0,0,0,0,0,0,0,0,,15,48,0,9,5,4,17,0,7,0,0
DeSean Jackson\JackDe00,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,11,8,63,0,13,1,0
Jason Avant\AvanJa00,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,54,0,25,0,0
Brent Celek\CeleBr00,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,17,0,9,0,0
Riley Cooper\CoopRi00,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,13,0,7,0,0
James Casey\CaseJa00,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,11,0,11,0,0
Damaris Johnson\JohnDa04,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,6,0,0
Zach Ertz\ErtzZa00,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,4,1,5,0,5,0,0
Bryce Brown\BrowBr02,PHI,0,0,0,0,0,0,0,0,,3,-1,0,3,1,1,2,0,2,0,0
