Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Robert Griffin\GrifRo01,WAS,15,30,132,1,2,3,26,17,45.4,5,7,0,4,0,0,0,0,0,2,1
Kirk Cousins\CousKi00,WAS,5,9,48,0,2,0,0,17,31.0,1,1,0,1,0,0,0,0,0,0,0
Alfred Morris\MorrAl00,WAS,0,0,0,0,0,0,0,0,,17,93,1,27,0,0,0,0,0,1,0
Roy Helu\HeluRo00,WAS,0,0,0,0,0,0,0,0,,5,11,0,4,1,1,14,0,14,0,0
Jordan Reed\ReedJo02,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,14,8,90,0,17,0,0
Pierre Garcon\GarcPi00,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,11,7,46,0,14,0,0
Santana Moss\MossSa00,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,20,0,10,0,0
Leonard Hankerson\HankLe00,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,7,1,7,0,0
Josh Morgan\MorgJo00,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,3,0,3,0,0
Aldrick Robinson\RobiAl00,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
Logan Paulsen\PaulLo00,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Peyton Manning\MannPe00,DEN,30,44,354,4,3,2,15,35,94.3,4,-3,0,0,0,0,0,0,0,1,1
Knowshon Moreno\MoreKn00,DEN,0,0,0,0,0,0,0,0,,13,43,0,8,6,6,89,1,35,0,0
Montee Ball\BallMo00,DEN,0,0,0,0,0,0,0,0,,12,38,1,8,1,0,0,0,0,0,0
C.J. Anderson\AndeC.00,DEN,0,0,0,0,0,0,0,0,,4,22,0,11,0,0,0,0,0,0,0
Trindon Holliday\HollTr00,DEN,0,0,0,0,0,0,0,0,,1,7,0,7,0,0,0,0,0,0,0
Wes Welker\WelkWe00,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,10,6,81,1,24,0,0
Demaryius Thomas\ThomDe03,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,11,7,75,1,35,0,0
Eric Decker\DeckEr00,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,42,0,19,0,0
Julius Thomas\ThomJu00,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,29,0,19,0,0
Jacob Tamme\TammJa00,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,15,0,15,0,0
Andre Caldwell\CaldAn00,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,14,0,14,0,0
Joel Dreessen\DreeJo00,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,9,1,8,0,0
Virgil Green\GreeVi00,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
