Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Alex Smith\SmitAl03,KAN,19,29,124,0,0,2,9,20,74.5,4,7,0,8,0,0,0,0,0,1,0
Jamaal Charles\CharJa00,KAN,0,0,0,0,0,0,0,0,,17,90,0,12,7,6,6,0,6,0,0
Anthony Sherman\SherAn00,KAN,0,0,0,0,0,0,0,0,,1,2,0,2,0,0,0,0,0,0,0
Dwayne Bowe\BoweDw00,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,12,7,67,0,12,0,0
Donnie Avery\AverDo00,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,22,0,9,0,0
Anthony Fasano\FasaAn00,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,20,0,20,0,0
Dexter McCluster\McClDe00,KAN,0,0,0,0,0,0,0,0,,1,-4,0,-4,4,2,9,0,7,0,0
Jeff Tuel\TuelJe00,BUF,18,39,229,1,2,0,0,59,52.2,3,17,0,14,0,0,0,0,0,0,0
C.J. Spiller\SpilC.00,BUF,0,0,0,0,0,0,0,0,,12,116,0,61,3,2,39,0,27,0,0
Fred Jackson\JackFr02,BUF,0,0,0,0,0,0,0,0,,16,77,0,15,2,1,22,0,22,0,0
Tashard Choice\ChoiTa00,BUF,0,0,0,0,0,0,0,0,,5,17,0,8,1,0,0,0,0,0,0
Steve Johnson\JohnSt00,BUF,0,0,0,0,0,0,0,0,,1,10,0,10,7,5,36,0,13,0,0
Frank Summers\SummFr00,BUF,0,0,0,0,0,0,0,0,,1,4,0,4,0,0,0,0,0,0,0
Marquise Goodwin\GoodMa00,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,64,1,59,0,0
Robert Woods\WoodRo02,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,8,4,44,0,18,0,0
Scott Chandler\ChanSc00,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,9,3,26,0,10,0,0
Marcus Easley\EaslMa00,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
T.J. Graham\GrahT.00,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,4,1,-2,0,-2,1,1
