Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Matt Cassel\CassMa00,MIN,17,25,170,2,0,0,0,22,113.7,5,-3,0,0,0,0,0,0,0,2,0
Cordarrelle Patterson\PattCo00,MIN,0,0,0,0,0,0,0,0,,3,102,1,67,5,3,26,0,13,0,0
Adrian Peterson\PeteAd01,MIN,0,0,0,0,0,0,0,0,,21,75,0,17,3,2,18,0,9,0,0
Matt Asiata\AsiaMa00,MIN,0,0,0,0,0,0,0,0,,2,10,0,5,1,1,5,0,5,0,0
Jerick McKinnon\McKiJe00,MIN,0,0,0,0,0,0,0,0,,1,1,0,1,0,0,0,0,0,0,0
Greg Jennings\JennGr00,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,7,6,58,1,18,0,0
Jarius Wright\WrigJa02,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,25,0,15,0,0
Rhett Ellison\ElliRh00,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,22,0,22,0,0
Kyle Rudolph\RudoKy00,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,16,1,9,0,0
Austin Davis\DaviAu00,STL,16,23,192,0,1,4,21,28,76.7,1,0,0,0,0,0,0,0,0,0,0
Shaun Hill\HillSh00,STL,8,13,81,0,1,1,6,23,47.3,1,-1,0,-1,0,0,0,0,0,1,0
Zac Stacy\StacZa00,STL,0,0,0,0,0,0,0,0,,11,43,0,7,2,1,8,0,8,0,0
Benny Cunningham\CunnBe01,STL,0,0,0,0,0,0,0,0,,5,21,0,7,4,4,30,0,12,0,0
Tavon Austin\AustTa00,STL,0,0,0,0,0,0,0,0,,3,5,0,5,3,3,34,0,28,2,0
Chris Givens\GiveCh00,STL,0,0,0,0,0,0,0,0,,1,4,0,4,3,2,30,0,27,0,0
Brian Quick\QuicBr00,STL,0,0,0,0,0,0,0,0,,0,0,0,0,9,7,99,0,23,0,0
Jared Cook\CookJa02,STL,0,0,0,0,0,0,0,0,,0,0,0,0,8,4,56,0,26,0,0
Lance Kendricks\KendLa00,STL,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,12,0,9,0,0
Cory Harkey\HarkCo00,STL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,4,0,4,0,0
Kenny Britt\BritKe00,STL,0,0,0,0,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0
