Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Jay Cutler\CutlJa00,CHI,22,37,272,1,2,3,18,45,68.7,2,0,0,1,0,0,0,0,0,1,1
Jimmy Clausen\ClauJi00,CHI,1,3,11,0,0,1,9,11,45.1,0,0,0,0,0,0,0,0,0,0,0
Matt Forte\FortMa00,CHI,0,0,0,0,0,0,0,0,,17,54,0,13,7,3,27,0,15,0,0
Ka'Deem Carey\CareKa00,CHI,0,0,0,0,0,0,0,0,,2,13,0,8,1,1,11,0,11,0,0
Alshon Jeffery\JeffAl00,CHI,0,0,0,0,0,0,0,0,,1,8,0,8,12,6,63,0,22,0,0
Brandon Marshall\MarsBr00,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,10,8,112,1,45,0,0
Martellus Bennett\BennMa00,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,6,2,45,0,37,0,0
Josh Morgan\MorgJo00,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,11,0,11,0,0
Santonio Holmes\HolmSa00,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,11,0,11,0,0
Dante Rosario\RosaDa00,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,3,0,3,0,0
Chris Williams\WillCh03,CHI,0,0,0,0,0,0,0,0,,1,-8,0,-8,,0,0,0,0,0,0
Pat O'Donnell\ODonPa00,CHI,0,0,0,0,0,0,0,0,,1,-12,0,-12,0,0,0,0,0,1,0
Aaron Rodgers\RodgAa00,GNB,18,27,315,6,0,0,0,73,145.8,0,0,0,0,0,0,0,0,0,0,0
Matt Flynn\FlynMa00,GNB,1,5,4,0,0,0,0,4,39.6,0,0,0,0,0,0,0,0,0,0,0
DuJuan Harris\HarrDu01,GNB,0,0,0,0,0,0,0,0,,8,52,0,12,0,0,0,0,0,0,0
Eddie Lacy\LacyEd00,GNB,0,0,0,0,0,0,0,0,,14,50,0,16,6,3,68,1,56,0,0
John Kuhn\KuhnJo00,GNB,0,0,0,0,0,0,0,0,,5,20,0,7,0,0,0,0,0,0,0
James Starks\StarJa00,GNB,0,0,0,0,0,0,0,0,,5,10,0,6,1,0,0,0,0,0,0
Jordy Nelson\NelsJo00,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,6,6,152,2,73,0,0
Randall Cobb\CobbRa00,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,72,1,29,1,1
Andrew Quarless\QuarAn00,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,10,1,6,0,0
Davante Adams\AdamDa01,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,10,0,10,0,0
Richard Rodgers\RodgRi00,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,6,0,4,0,0
Brandon Bostick\BostBr00,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,1,1,1,0,0
Jarrett Boykin\BoykJa00,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
