Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Peyton Manning\MannPe00,DEN,31,44,340,5,2,0,0,51,111.9,0,0,0,0,0,0,0,0,0,0,0
Brock Osweiler\OsweBr00,DEN,2,5,13,0,0,0,0,9,47.9,3,2,0,4,0,0,0,0,0,0,0
C.J. Anderson\AndeC.00,DEN,0,0,0,0,0,0,0,0,,13,90,0,17,7,4,73,1,51,0,0
Ronnie Hillman\HillRo00,DEN,0,0,0,0,0,0,0,0,,6,13,0,6,5,2,9,0,8,0,0
Juwan Thompson\ThomJu01,DEN,0,0,0,0,0,0,0,0,,4,8,0,5,0,0,0,0,0,1,0
Emmanuel Sanders\SandEm00,DEN,0,0,0,0,0,0,0,0,,1,5,0,5,8,5,67,2,32,0,0
Demaryius Thomas\ThomDe03,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,14,11,108,0,21,0,0
Julius Thomas\ThomJu00,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,7,6,63,2,32,0,0
Wes Welker\WelkWe00,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,24,0,13,0,0
Cody Latimer\LatiCo00,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,9,0,9,0,0
Andre Caldwell\CaldAn00,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Derek Carr\CarrDe02,OAK,30,47,192,2,2,0,0,28,68.8,0,0,0,0,0,0,0,0,0,1,0
Darren McFadden\McFaDa00,OAK,0,0,0,0,0,,0,0,,7,14,0,6,7,4,22,0,7,0,0
Maurice Jones-Drew\DrewMa00,OAK,0,0,0,0,0,,0,0,,3,10,0,6,1,1,7,0,7,0,0
Latavius Murray\MurrLa00,OAK,0,0,0,0,0,,0,0,,2,4,0,3,1,1,7,0,7,0,0
Marcel Reece\ReecMa00,OAK,0,0,0,0,0,,0,0,,1,3,0,3,2,2,6,0,6,0,0
Denarius Moore\MoorDe02,OAK,0,0,0,0,0,,0,0,,1,1,0,1,2,1,28,0,28,0,0
Mychal Rivera\RiveMy00,OAK,0,0,0,0,0,,0,0,,0,0,0,0,8,6,64,1,25,0,0
Vincent Brown\BrowVi00,OAK,0,0,0,0,0,,0,0,,0,0,0,0,6,3,20,0,9,0,0
James Jones\JoneJa04,OAK,0,0,0,0,0,,0,0,,0,0,0,0,12,8,20,0,10,0,0
Brice Butler\ButlBr00,OAK,0,0,0,0,0,,0,0,,0,0,0,0,4,2,12,1,7,0,0
Brian Leonhardt\LeonBr01,OAK,0,0,0,0,0,,0,0,,0,0,0,0,1,1,5,0,5,0,0
Khalif Barnes\BarnKh20,OAK,0,0,0,0,0,,0,0,,0,0,0,0,1,1,1,0,1,1,1
Andre Holmes\HolmAn00,OAK,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Kenbrell Thompkins\ThomKe02,OAK,0,0,0,0,0,,0,0,,1,-2,0,-2,0,0,0,0,0,0,0
