Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Matt Ryan\RyanMa00,ATL,31,45,268,1,0,2,8,20,91.7,1,4,0,4,0,0,0,0,0,0,0
Steven Jackson\JackSt00,ATL,0,0,0,0,0,0,0,0,,17,41,0,5,3,2,6,0,3,0,0
Devonta Freeman\FreeDe00,ATL,0,0,0,0,0,0,0,0,,6,28,0,15,0,0,0,0,0,0,0
Devin Hester\HestDe99,ATL,0,0,0,0,0,0,0,0,,1,9,0,9,3,3,34,0,18,1,1
Jacquizz Rodgers\RodgJa00,ATL,0,0,0,0,0,0,0,0,,2,4,0,3,4,3,8,0,4,0,0
Roddy White\WhitRo00,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,12,8,75,1,19,0,0
Julio Jones\JoneJu02,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,11,6,59,0,11,0,0
Harry Douglas\DougHa00,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,46,0,17,0,0
Levine Toilolo\ToilLe00,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,23,0,20,0,0
Patrick DiMarco\DiMaPa00,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,14,0,10,0,0
Antone Smith\SmitAn01,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,3,0,3,0,0
Cam Newton\NewtCa00,CAR,23,37,292,2,2,2,7,47,82.3,5,30,0,15,0,0,0,0,0,0,0
DeAngelo Williams\WillDe02,CAR,0,0,0,0,0,0,0,0,,10,41,0,8,1,1,-3,0,-3,0,0
Jonathan Stewart\StewJo00,CAR,0,0,0,0,0,0,0,0,,7,24,0,13,3,3,15,0,7,0,0
Fozzy Whittaker\WhitFo00,CAR,0,0,0,0,0,0,0,0,,3,11,0,5,1,0,0,0,0,0,0
Kelvin Benjamin\BenjKe00,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,13,9,109,1,22,0,0
Greg Olsen\OlseGr00,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,11,5,61,0,15,0,0
Corey Brown\BrowPh00,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,47,1,47,0,0
Jerricho Cotchery\CotcJe00,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,43,0,22,0,0
Ed Dickson\DickEd00,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,20,0,17,0,0
