Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Andy Dalton\DaltAn00,CIN,16,22,220,3,0,1,1,38,143.9,5,12,0,11,0,0,0,0,0,0,0
Jeremy Hill\HillJe01,CIN,0,0,0,0,0,0,0,0,,27,152,0,62,1,1,13,0,13,1,0
Cedric Peerman\PeerCe00,CIN,0,0,0,0,0,0,0,0,,2,21,0,21,0,0,0,0,0,0,0
Rex Burkhead\BurkRe00,CIN,0,0,0,0,0,0,0,0,,2,1,0,1,3,3,36,0,15,0,0
A.J. Green\GreeA.00,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,8,6,127,1,38,0,0
Mohamed Sanu\SanuMo00,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,23,0,9,0,0
Jermaine Gresham\GresJe00,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,13,2,12,1,0
James Wright\WrigJa03,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,8,0,8,0,0
Drew Brees\BreeDr00,NOR,33,41,255,1,0,0,0,17,100.7,1,3,0,3,0,0,0,0,0,0,0
Mark Ingram\IngrMa01,NOR,0,0,0,0,0,0,0,0,,23,67,0,13,7,7,30,0,11,0,0
Brandin Cooks\CookBr00,NOR,0,0,0,0,0,0,0,0,,1,5,0,5,7,5,50,0,14,1,0
Marques Colston\ColsMa00,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,8,4,56,0,17,0,0
Kenny Stills\StilKe00,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,32,1,16,0,0
Travaris Cadet\CadeTr00,NOR,0,0,0,0,0,0,0,0,,1,0,0,0,5,4,31,0,12,1,1
Jimmy Graham\GrahJi00,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,29,0,13,0,0
Brian Leonard\LeonBr00,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,15,0,15,0,0
Joe Morgan\MorgJo01,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,7,0,7,0,0
Erik Lorig\LoriEr99,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,5,0,3,0,0
Josh Hill\HillJo02,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
