Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Michael Vick\VickMi00,NYJ,7,19,76,0,1,5,30,34,27.5,2,4,0,3,0,0,0,0,0,0,0
Geno Smith\SmitGe00,NYJ,10,12,89,0,0,2,9,28,97.6,2,4,0,4,0,0,0,0,0,0,0
Chris Johnson\JohnCh04,NYJ,0,0,0,0,0,0,0,0,,7,40,0,15,4,3,22,0,9,0,0
Chris Ivory\IvorCh00,NYJ,0,0,0,0,0,0,0,0,,7,31,0,17,3,3,7,0,6,0,0
John Conner\ConnJo00,NYJ,0,0,0,0,0,0,0,0,,1,13,0,13,0,0,0,0,0,0,0
Jeremy Kerley\KerlJe00,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,5,5,66,0,28,0,0
Eric Decker\DeckEr00,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,8,4,63,0,34,0,0
Jeff Cumberland\CumbJe00,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,5,0,5,0,0
Percy Harvin\HarvPe00,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,5,1,2,0,2,0,0
Jace Amaro\AmarJa00,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
Kyle Orton\OrtoKy00,BUF,24,32,230,2,0,1,10,37,115.4,1,10,0,10,0,0,0,0,0,0,0
Anthony Dixon\DixoAn00,BUF,0,0,0,0,0,0,0,0,,12,54,1,30,1,1,8,0,8,0,0
Fred Jackson\JackFr02,BUF,0,0,0,0,0,0,0,0,,10,32,1,7,4,3,13,0,6,0,0
Bryce Brown\BrowBr02,BUF,0,0,0,0,0,0,0,0,,6,20,0,6,0,0,0,0,0,0,0
Robert Woods\WoodRo02,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,11,9,118,1,37,0,0
Sammy Watkins\WatkSa00,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,35,0,17,0,0
Scott Chandler\ChanSc00,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,28,1,19,0,0
Lee Smith\SmitLe00,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,12,0,12,0,0
Chris Gragg\GragCh00,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,11,0,6,0,0
Chris Hogan\HogaCh00,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,5,0,3,0,0
