Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Tom Brady\BradTo00,NWE,22,35,245,2,0,1,9,29,102.7,1,-1,0,-1,0,0,0,0,0,0,0
LeGarrette Blount\BlouLe00,NWE,0,0,0,0,0,0,0,0,,10,58,0,13,0,0,0,0,0,0,0
Brandon Bolden\BoldBr00,NWE,0,0,0,0,0,0,0,0,,3,17,1,12,0,0,0,0,0,0,0
Shane Vereen\VereSh00,NWE,0,0,0,0,0,0,0,0,,3,6,0,3,2,1,26,0,26,0,0
Jonas Gray\GrayJo00,NWE,0,0,0,0,0,0,0,0,,1,4,0,4,0,0,0,0,0,0,0
Rob Gronkowski\GronRo00,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,12,7,98,0,29,0,0
Julian Edelman\EdelJu00,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,10,7,48,0,17,0,0
Brandon LaFell\LaFeBr00,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,38,2,15,0,0
Michael Hoomanawanui\HoomMi00,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,23,0,23,0,0
Tim Wright\WrigTi01,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,12,0,12,0,0
Aaron Dobson\DobsAa00,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Danny Amendola\AmenDa00,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Aaron Rodgers\RodgAa00,GNB,24,38,368,2,0,3,20,45,112.6,5,22,0,17,0,0,0,0,0,1,0
Eddie Lacy\LacyEd00,GNB,0,0,0,0,0,0,0,0,,21,98,0,24,3,2,17,0,12,0,0
Randall Cobb\CobbRa00,GNB,0,0,0,0,0,0,0,0,,2,8,0,6,11,7,85,0,33,0,0
James Starks\StarJa00,GNB,0,0,0,0,0,0,0,0,,1,2,0,2,2,2,34,0,28,0,0
Davante Adams\AdamDa01,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,11,6,121,0,45,0,0
Jordy Nelson\NelsJo00,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,6,2,53,1,45,0,0
Richard Rodgers\RodgRi00,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,35,1,32,0,0
Andrew Quarless\QuarAn00,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,17,0,9,0,0
Jarrett Boykin\BoykJa00,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,6,0,0
