Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Drew Brees\BreeDr00,NOR,19,27,257,5,0,1,7,69,140.0,0,0,0,0,0,0,0,0,0,0,0
Mark Ingram\IngrMa01,NOR,0,0,0,0,0,0,0,0,,23,122,0,31,2,2,-1,0,0,0,0
Pierre Thomas\ThomPi00,NOR,0,0,0,0,0,0,0,0,,3,21,0,13,4,2,16,0,13,0,0
Kenny Stills\StilKe00,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,162,1,69,0,0
Josh Hill\HillJo02,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,17,0,17,0,0
Nick Toon\ToonNi00,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,17,1,11,0,0
Marques Colston\ColsMa00,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,16,1,8,0,0
Ben Watson\WatsBe00,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,15,1,15,0,0
Travaris Cadet\CadeTr00,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,11,0,6,0,0
Erik Lorig\LoriEr99,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,4,1,4,0,0
Ben Roethlisberger\RoetBe00,PIT,32,58,435,2,2,1,0,48,76.4,1,8,0,8,0,0,0,0,0,0,0
Le'Veon Bell\BellLe00,PIT,0,0,0,0,0,0,0,0,,21,95,1,18,11,8,159,0,48,0,0
Antonio Brown\BrowAn04,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,12,8,97,2,21,0,0
Heath Miller\MillHe00,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,14,8,82,0,23,0,0
Markus Wheaton\WheaMa00,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,9,5,61,0,16,0,0
Martavis Bryant\BryaMa00,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,4,1,23,0,23,0,0
Lance Moore\MoorLa00,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,13,0,9,0,0
Darrius Heyward-Bey\HeywDa00,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Dri Archer\ArchDr00,PIT,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0
