Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Andy Dalton\DaltAn00,CIN,14,24,117,0,1,2,14,15,53.6,2,3,0,2,0,0,0,0,0,0,0
Jeremy Hill\HillJe01,CIN,0,0,0,0,0,0,0,0,,25,148,2,21,1,1,4,0,4,2,0
Giovani Bernard\BernGi00,CIN,0,0,0,0,0,0,0,0,,15,79,0,14,3,3,24,0,14,0,0
Rex Burkhead\BurkRe00,CIN,0,0,0,0,0,0,0,0,,3,14,1,10,0,0,0,0,0,0,0
A.J. Green\GreeA.00,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,11,5,49,0,13,0,0
Ryan Hewitt\HewiRy00,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,34,0,15,0,0
Mohamed Sanu\SanuMo00,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,4,0,4,0,0
Kevin Brock\BrocKe00,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0,2,0,0
Brandon Tate\TateBr00,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,1,0
Johnny Manziel\ManzJo00,CLE,10,18,80,0,2,3,26,32,27.3,5,13,0,10,0,0,0,0,0,0,0
Terrance West\WestTe00,CLE,0,0,0,0,0,0,0,0,,5,23,0,8,0,0,0,0,0,0,0
Isaiah Crowell\CrowIs00,CLE,0,0,0,0,0,0,0,0,,7,17,0,9,3,2,10,0,6,0,0
Josh Gordon\GordJo02,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,48,0,32,0,0
Travis Benjamin\BenjTr00,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,9,0,9,0,0
Andrew Hawkins\HawkAn00,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,7,0,4,0,0
Jordan Cameron\CameJo00,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,4,0,4,0,0
Taylor Gabriel\GabrTa00,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,2,0,2,0,0
Jim Dray\DrayJi00,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0
