Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Blake Bortles\BortBl00,JAX,21,37,210,0,1,8,63,30,61.8,1,2,0,2,0,0,0,0,0,0,0
Bryan Anger\AngeBr00,JAX,1,1,19,0,0,0,0,19,118.7,0,0,0,0,0,0,0,0,0,0,0
Toby Gerhart\GerhTo00,JAX,0,0,0,0,0,0,0,0,,13,54,0,10,2,2,9,0,6,0,0
Storm Johnson\JohnSt03,JAX,0,0,0,0,0,0,0,0,,6,19,0,17,0,0,0,0,0,0,0
Jordan Todman\TodmJo00,JAX,0,0,0,0,0,0,0,0,,3,7,0,8,2,1,19,0,19,0,0
Cecil Shorts\ShorCe00,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,11,6,76,0,30,0,0
Allen Hurns\HurnAl01,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,9,6,70,0,27,0,0
Marcedes Lewis\LewiMa00,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,22,0,17,0,0
Will Ta'ufo'ou\TaufWi00,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,19,0,19,0,0
Marqise Lee\LeexMa00,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,10,4,14,0,13,0,0
Tommy Streeter\StreTo00,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Joe Flacco\FlacJo00,BAL,20,30,221,1,0,0,0,29,99.4,4,8,0,10,0,0,0,0,0,0,0
Justin Forsett\ForsJu00,BAL,0,0,0,0,0,0,0,0,,16,48,0,6,2,1,-1,0,-1,0,0
Bernard Pierce\PierBe00,BAL,0,0,0,0,0,0,0,0,,6,37,0,28,1,0,0,0,0,0,0
Marlon Brown\BrowMa00,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,5,5,66,0,22,0,0
Owen Daniels\DaniOw00,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,9,4,62,1,29,0,0
Crockett Gillmore\GillCr00,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,37,0,20,0,0
Steve Smith\SmitSt01,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,5,5,37,0,11,0,0
Torrey Smith\SmitTo02,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,16,0,12,0,0
Kyle Juszczyk\JuszKy00,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,4,0,4,1,1
Kamar Aiken\AikeKa00,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
