Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Derek Carr\CarrDe02,OAK,27,56,222,1,0,4,20,33,64.7,1,0,0,0,0,0,0,0,0,1,1
Latavius Murray\MurrLa00,OAK,0,0,0,0,0,,0,0,,12,59,0,25,6,2,17,0,11,0,0
Darren McFadden\McFaDa00,OAK,0,0,0,0,0,,0,0,,2,13,0,8,0,0,0,0,0,0,0
Maurice Jones-Drew\DrewMa00,OAK,0,0,0,0,0,,0,0,,2,6,0,7,1,0,0,0,0,0,0
Andre Holmes\HolmAn00,OAK,0,0,0,0,0,,0,0,,0,0,0,0,12,5,70,0,33,0,0
James Jones\JoneJa04,OAK,0,0,0,0,0,,0,0,,0,0,0,0,11,8,57,1,22,0,0
Mychal Rivera\RiveMy00,OAK,0,0,0,0,0,,0,0,,0,0,0,0,12,7,39,0,9,0,0
Brice Butler\ButlBr00,OAK,0,0,0,0,0,,0,0,,0,0,0,0,3,3,23,0,13,0,0
Vincent Brown\BrowVi00,OAK,0,0,0,0,0,,0,0,,0,0,0,0,2,2,16,0,11,0,0
Kenbrell Thompkins\ThomKe02,OAK,0,0,0,0,0,0,0,0,,0,0,0,0,6,0,0,0,0,0,0
Marcel Reece\ReecMa00,OAK,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Jamize Olawale\OlawJa00,OAK,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Alex Smith\SmitAl03,KAN,18,30,297,2,0,1,2,70,115.6,3,17,0,8,0,0,0,0,0,0,0
Chase Daniel\DaniCh00,KAN,0,1,0,0,0,0,0,0,39.6,1,-1,0,-1,0,0,0,0,0,0,0
Jamaal Charles\CharJa00,KAN,0,0,0,0,0,0,0,0,,12,52,0,15,2,1,1,0,1,0,0
De'Anthony Thomas\ThomDe05,KAN,0,0,0,0,0,0,0,0,,2,14,0,8,3,1,5,0,5,0,0
Knile Davis\DaviKn00,KAN,0,0,0,0,0,0,0,0,,9,11,1,3,2,1,70,1,70,0,0
Albert Wilson\WilsAl02,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,69,0,48,0,0
Dwayne Bowe\BoweDw00,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,7,3,69,0,37,0,0
Travis Kelce\KelcTr00,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,59,1,20,1,1
Jason Avant\AvanJa00,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,14,0,14,0,0
Frankie Hammond\HammFr00,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,7,0,7,0,0
Anthony Fasano\FasaAn00,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0,2,0,0
Anthony Sherman\SherAn00,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,1,0,0
Charcandrick West\WestCh01,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
