Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Josh McCown\McCoJo01,TAM,13,28,154,1,1,3,18,23,60.7,2,21,1,16,0,0,0,0,0,3,2
Doug Martin\MartDo00,TAM,0,0,0,0,0,0,0,0,,14,96,0,63,1,1,3,0,3,0,0
Charles Sims\SimsCh00,TAM,0,0,0,0,0,0,0,0,,7,34,0,18,3,3,45,0,19,1,0
Vincent Jackson\JackVi00,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,10,6,70,0,18,0,0
Russell Shepard\ShepRu00,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,23,0,23,0,0
Mike Evans\EvanMi00,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,8,2,13,1,8,0,0
Brandon Myers\MyerBr00,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
Louis Murphy\MurpLo00,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Derek Anderson\AndeDe00,CAR,25,40,277,1,0,3,8,21,91.4,5,14,0,8,0,0,0,0,0,1,0
Jonathan Stewart\StewJo00,CAR,0,0,0,0,0,0,0,0,,22,75,0,15,1,1,6,0,6,2,1
Corey Brown\BrowPh00,CAR,0,0,0,0,0,0,0,0,,1,17,0,17,6,1,10,0,10,0,0
Fozzy Whittaker\WhitFo00,CAR,0,0,0,0,0,0,0,0,,2,13,0,11,0,0,0,0,0,0,0
Mike Tolbert\TolbMi00,CAR,0,0,0,0,0,0,0,0,,2,4,0,2,0,0,0,0,0,0,0
Greg Olsen\OlseGr00,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,13,10,110,0,16,0,0
Kelvin Benjamin\BenjKe00,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,13,8,104,0,21,0,0
Jerricho Cotchery\CotcJe00,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,5,5,47,1,18,0,0
Ed Dickson\DickEd00,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Brenton Bersin\BersBr00,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,1,0
