Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Peyton Manning\MannPe00,DEN,28,44,311,2,4,2,11,46,61.8,0,0,0,0,0,0,0,0,0,0,0
C.J. Anderson\AndeC.00,DEN,0,0,0,0,0,0,0,0,,18,83,1,27,10,8,55,0,20,0,0
Juwan Thompson\ThomJu01,DEN,0,0,0,0,0,0,0,0,,1,2,0,2,1,0,0,0,0,0,0
Demaryius Thomas\ThomDe03,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,14,7,115,0,46,0,0
Emmanuel Sanders\SandEm00,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,7,6,70,2,33,0,0
Julius Thomas\ThomJu00,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,6,2,33,0,26,0,0
Wes Welker\WelkWe00,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,30,0,13,0,0
Jacob Tamme\TammJa00,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,8,0,8,0,0
Andy Dalton\DaltAn00,CIN,17,25,146,2,1,0,0,22,93.1,6,25,0,10,0,0,0,0,0,0,0
Jeremy Hill\HillJe01,CIN,0,0,0,0,0,0,0,0,,22,147,1,85,0,0,0,0,0,1,1
Giovani Bernard\BernGi00,CIN,0,0,0,0,0,0,0,0,,8,36,0,23,5,5,45,1,22,0,0
Jermaine Gresham\GresJe00,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,10,9,62,1,20,1,0
Mohamed Sanu\SanuMo00,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,16,0,16,0,0
Brandon Tate\TateBr00,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,12,0,12,0,0
A.J. Green\GreeA.00,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,4,0,0,0,0,0,0
Dane Sanzenbacher\SanzDa00,CIN,0,0,0,0,0,0,0,0,,1,-1,0,-1,2,1,11,0,11,0,0
