Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Tom Brady\BradTo00,NWE,23,35,182,1,1,4,36,14,76.1,7,10,0,11,0,0,0,0,0,0,0
Shane Vereen\VereSh00,NWE,0,0,0,0,0,0,0,0,,6,38,0,15,2,1,12,0,12,0,0
Brandon Bolden\BoldBr00,NWE,0,0,0,0,0,0,0,0,,5,32,0,17,0,0,0,0,0,0,0
Jonas Gray\GrayJo00,NWE,0,0,0,0,0,0,0,0,,6,5,1,4,1,0,0,0,0,0,0
Brandon LaFell\LaFeBr00,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,10,7,64,0,14,0,0
Danny Amendola\AmenDa00,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,11,8,63,0,12,0,0
Rob Gronkowski\GronRo00,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,10,6,31,1,10,0,0
Tim Wright\WrigTi01,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,12,0,12,0,0
Geno Smith\SmitGe00,NYJ,17,27,210,1,1,2,19,26,83.9,3,9,0,6,0,0,0,0,0,0,0
Chris Ivory\IvorCh00,NYJ,0,0,0,0,0,0,0,0,,11,53,0,16,0,0,0,0,0,0,0
Chris Johnson\JohnCh04,NYJ,0,0,0,0,0,0,0,0,,10,30,0,16,1,1,3,0,3,0,0
Bilal Powell\PoweBi00,NYJ,0,0,0,0,0,0,0,0,,5,21,0,14,2,2,13,0,7,0,0
John Conner\ConnJo00,NYJ,0,0,0,0,0,0,0,0,,1,2,0,2,1,1,26,0,26,0,0
Percy Harvin\HarvPe00,NYJ,0,0,0,0,0,0,0,0,,2,1,0,1,5,4,44,0,25,0,0
Jeremy Kerley\KerlJe00,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,54,0,25,0,0
Jeff Cumberland\CumbJe00,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,43,1,20,0,0
Eric Decker\DeckEr00,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,21,0,13,0,0
Zach Sudfeld\SudfZa00,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,6,0,0
Jace Amaro\AmarJa00,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
