Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Cam Newton\NewtCa00,CAR,10,16,114,1,0,1,2,28,104.7,6,51,1,13,0,0,0,0,0,0,0
Jonathan Stewart\StewJo00,CAR,0,0,0,0,0,0,0,0,,13,49,0,11,2,2,20,0,11,0,0
Corey Brown\BrowPh00,CAR,0,0,0,0,0,0,0,0,,2,41,0,28,1,1,28,0,28,0,0
Fozzy Whittaker\WhitFo00,CAR,0,0,0,0,0,0,0,0,,7,41,0,13,0,0,0,0,0,0,0
Mike Tolbert\TolbMi00,CAR,0,0,0,0,0,0,0,0,,7,12,0,7,0,0,0,0,0,0,0
Greg Olsen\OlseGr00,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,27,0,18,0,0
Jerricho Cotchery\CotcJe00,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,25,0,18,0,0
Kelvin Benjamin\BenjKe00,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,5,1,9,0,9,0,0
Ed Dickson\DickEd00,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,5,1,5,0,0
Brenton Bersin\BersBr00,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Matt Ryan\RyanMa00,ATL,29,47,260,0,2,6,35,20,58.8,1,6,0,6,0,0,0,0,0,0,0
Jacquizz Rodgers\RodgJa00,ATL,0,0,0,0,0,0,0,0,,9,44,0,17,7,3,19,0,8,0,0
Devonta Freeman\FreeDe00,ATL,0,0,0,0,0,0,0,0,,6,13,0,5,3,2,3,0,7,0,0
Roddy White\WhitRo00,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,12,8,104,0,20,1,1
Julio Jones\JoneJu02,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,8,4,58,0,20,0,0
Devin Hester\HestDe99,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,32,0,15,0,0
Harry Douglas\DougHa00,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,28,0,8,0,0
Levine Toilolo\ToilLe00,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,14,0,11,0,0
Bear Pascoe\PascBe00,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0,2,0,0
Patrick DiMarco\DiMaPa00,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
