Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Tony Romo\RomoTo00,DAL,22,34,299,2,1,0,0,65,100.0,1,0,0,0,0,0,0,0,0,1,0
DeMarco Murray\MurrDe00,DAL,0,0,0,0,0,0,0,0,,20,100,1,32,3,3,21,0,10,0,0
Joseph Randle\RandJo01,DAL,0,0,0,0,0,0,0,0,,4,69,1,65,2,1,3,0,3,0,0
Lance Dunbar\DunbLa00,DAL,0,0,0,0,0,0,0,0,,1,4,0,4,0,0,0,0,0,0,0
Dwayne Harris\HarrDw00,DAL,0,0,0,0,0,0,0,0,,1,1,0,1,0,0,0,0,0,0,0
Dez Bryant\BryaDe01,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,99,2,65,0,0
Terrance Williams\WillTe01,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,68,0,51,0,0
Cole Beasley\BeasCo00,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,9,6,57,0,19,0,0
Jason Witten\WittJa00,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,49,0,18,0,0
James Hanna\HannJa00,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,2,0,2,0,0
Gavin Escobar\EscoGa00,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Robert Griffin\GrifRo01,WAS,27,41,336,1,2,3,27,69,78.9,6,19,1,6,0,0,0,0,0,1,1
Alfred Morris\MorrAl00,WAS,0,0,0,0,0,0,0,0,,12,43,0,22,3,2,19,0,17,0,0
Roy Helu\HeluRo00,WAS,0,0,0,0,0,0,0,0,,6,42,0,15,5,4,41,0,19,0,0
DeSean Jackson\JackDe00,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,86,1,69,0,0
Jordan Reed\ReedJo02,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,10,9,70,0,16,1,1
Pierre Garcon\GarcPi00,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,53,0,47,0,0
Santana Moss\MossSa00,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,25,0,13,0,0
Niles Paul\PaulNi00,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,19,0,14,0,0
Darrel Young\YounDa01,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,9,0,9,0,0
Andre Roberts\RobeAn00,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,7,0,7,0,0
Ryan Grant\GranRy01,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,7,0,7,0,0
Logan Paulsen\PaulLo00,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
