Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Matt Hasselbeck\HassMa00,IND,13,19,155,1,0,0,0,32,110.6,4,-8,0,-1,0,0,0,0,0,0,0
Andrew Luck\LuckAn00,IND,10,16,160,2,0,1,1,80,135.4,1,5,0,5,0,0,0,0,0,1,0
Dan Herron\HerrDa00,IND,0,0,0,0,0,0,0,0,,10,35,0,9,3,3,31,0,26,0,0
Zurlon Tipton\TiptZu01,IND,0,0,0,0,0,0,0,0,,9,21,0,9,2,2,45,0,32,0,0
Trent Richardson\RichTr00,IND,0,0,0,0,0,0,0,0,,6,11,0,4,1,1,9,0,9,0,0
Reggie Wayne\WaynRe00,IND,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,91,0,80,0,0
Coby Fleener\FleeCo00,IND,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,56,2,20,0,0
Hakeem Nicks\NickHa01,IND,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,46,0,21,0,0
Jack Doyle\DoylJa00,IND,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,21,1,7,0,0
Donte Moncrief\MoncDo00,IND,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,16,0,9,0,0
T.Y. Hilton\HiltT.00,IND,0,0,0,0,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0
Charlie Whitehurst\WhitCh02,TEN,12,28,72,1,0,4,29,10,62.2,4,19,0,13,0,0,0,0,0,1,0
Jordan Palmer\PalmJo20,TEN,1,3,7,0,0,0,0,7,42.4,1,-1,0,-1,0,0,0,0,0,0,0
Shonn Greene\GreeSh00,TEN,0,0,0,0,0,0,0,0,,11,94,0,52,0,0,0,0,0,0,0
Bishop Sankey\SankBi00,TEN,0,0,0,0,0,0,0,0,,4,18,0,11,1,0,0,0,0,1,1
Kendall Wright\WrigKe01,TEN,0,0,0,0,0,0,0,0,,1,10,0,10,5,2,9,1,6,0,0
Leon Washington\WashLe00,TEN,0,0,0,0,0,0,0,0,,2,2,0,2,2,0,0,0,0,0,0
Delanie Walker\WalkHu00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,10,7,43,0,10,1,0
Derek Hagan\HagaDe00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,16,0,9,0,0
Antonio Andrews\AndrAn00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,11,0,6,0,0
Nate Washington\WashNa00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0
Kris Durham\DurhKr00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
Jackie Battle\BattJa00,TEN,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0
