Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Matt Ryan\RyanMa00,ATL,24,44,231,1,3,2,19,24,48.6,3,28,0,12,0,0,0,0,0,0,0
Steven Jackson\JackSt00,ATL,0,0,0,0,0,0,0,0,,11,46,0,13,1,1,7,0,7,0,0
Jacquizz Rodgers\RodgJa00,ATL,0,0,0,0,0,0,0,0,,5,23,0,9,1,0,0,0,0,0,0
Julio Jones\JoneJu02,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,13,7,88,1,24,0,0
Roddy White\WhitRo00,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,9,5,42,0,19,0,0
Harry Douglas\DougHa00,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,8,4,38,0,16,0,0
Devonta Freeman\FreeDe00,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,22,0,18,0,0
Antone Smith\SmitAn01,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,19,0,15,0,0
Levine Toilolo\ToilLe00,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,13,0,10,0,0
Devin Hester\HestDe99,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0,2,0,0
Andy Dalton\DaltAn00,CIN,15,23,252,1,0,0,0,76,116.6,3,6,0,4,0,0,0,0,0,0,0
Mohamed Sanu\SanuMo00,CIN,1,1,50,0,0,0,0,50,118.7,0,0,0,0,4,3,84,1,76,0,0
Giovani Bernard\BernGi00,CIN,0,0,0,0,0,0,0,0,,27,90,1,12,6,5,79,0,46,0,0
Jeremy Hill\HillJe01,CIN,0,0,0,0,0,0,0,0,,15,74,1,13,2,2,22,0,18,0,0
Brandon Tate\TateBr00,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,50,0,50,0,0
Dane Sanzenbacher\SanzDa00,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,42,0,26,0,0
Jermaine Gresham\GresJe00,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,25,0,19,0,0
James Wright\WrigJa03,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
