Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Tony Romo\RomoTo00,DAL,19,29,176,1,0,4,28,22,93.5,0,0,0,0,0,0,0,0,0,0,0
DeMarco Murray\MurrDe00,DAL,0,0,0,0,0,0,0,0,,29,167,1,22,2,1,6,0,6,1,1
Lance Dunbar\DunbLa00,DAL,0,0,0,0,0,0,0,0,,11,27,0,7,0,0,0,0,0,0,0
Joseph Randle\RandJo01,DAL,0,0,0,0,0,0,0,0,,3,26,0,11,0,0,0,0,0,0,0
Dez Bryant\BryaDe01,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,14,10,103,1,22,0,0
Jason Witten\WittJa00,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,32,0,15,0,0
Terrance Williams\WillTe01,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,20,0,12,0,0
Cole Beasley\BeasCo00,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,10,0,10,0,0
Gavin Escobar\EscoGa00,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,5,0,5,0,0
Jake Locker\LockJa00,TEN,18,34,234,1,2,2,2,61,60.2,2,9,0,8,0,0,0,0,0,0,0
Shonn Greene\GreeSh00,TEN,0,0,0,0,0,0,0,0,,5,40,0,13,0,0,0,0,0,0,0
Dexter McCluster\McClDe00,TEN,0,0,0,0,0,0,0,0,,4,30,0,16,1,1,9,0,9,0,0
Bishop Sankey\SankBi00,TEN,0,0,0,0,0,0,0,0,,2,3,0,4,0,0,0,0,0,0,0
Delanie Walker\WalkHu00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,14,10,142,1,61,1,0
Kendall Wright\WrigKe01,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,31,0,12,0,0
Justin Hunter\HuntJu00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,6,2,26,0,23,0,0
Derek Hagan\HagaDe00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,25,0,25,0,0
Nate Washington\WashNa00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,6,1,1,0,1,0,0
Taylor Thompson\ThomTa00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
