Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Ryan Fitzpatrick\FitzRy00,HOU,14,19,139,2,0,0,0,26,129.1,0,0,0,0,0,0,0,0,0,0,0
Arian Foster\FostAr00,HOU,0,0,0,0,0,0,0,0,,28,138,1,40,3,2,12,0,9,0,0
Alfred Blue\BlueAl00,HOU,0,0,0,0,0,0,0,0,,11,40,0,11,0,0,0,0,0,0,0
Jonathan Grimes\GrimJo01,HOU,0,0,0,0,0,0,0,0,,3,9,0,7,0,0,0,0,0,0,0
Ronnie Brown\BrowRo05,HOU,0,0,0,0,0,0,0,0,,3,2,0,2,0,0,0,0,0,0,0
Andre Johnson\JohnAn02,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,7,6,74,0,20,0,0
Garrett Graham\GrahGa00,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,26,0,26,0,0
DeAndre Hopkins\HopkDe00,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,22,1,12,0,0
Damaris Johnson\JohnDa04,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,4,0,4,1,0
J.J. Watt\WattJ.00,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,1,1,0,0
Ryan Mallett\MallRy00,HOU,0,0,0,0,0,0,0,0,,1,-1,0,-1,0,0,0,0,0,0,0
Derek Carr\CarrDe02,OAK,27,42,263,1,2,0,0,42,69.8,4,58,0,41,0,0,0,0,0,0,0
Darren McFadden\McFaDa00,OAK,0,0,0,0,0,,0,0,,12,37,1,10,3,2,31,0,23,0,0
Latavius Murray\MurrLa00,OAK,0,0,0,0,0,,0,0,,1,6,0,6,0,0,0,0,0,0,0
James Jones\JoneJa04,OAK,0,0,0,0,0,,0,0,,0,0,0,0,15,9,112,1,42,3,1
Andre Holmes\HolmAn00,OAK,0,0,0,0,0,,0,0,,0,0,0,0,7,5,45,0,15,0,0
Mychal Rivera\RiveMy00,OAK,0,0,0,0,0,,0,0,,0,0,0,0,7,5,31,0,10,1,1
Denarius Moore\MoorDe02,OAK,0,0,0,0,0,,0,0,,0,0,0,0,5,3,29,0,12,0,0
Marcel Reece\ReecMa00,OAK,0,0,0,0,0,,0,0,,0,0,0,0,1,1,11,0,11,0,0
Rod Streater\StreRo00,OAK,0,0,0,0,0,,0,0,,0,0,0,0,3,1,6,0,6,0,0
Brice Butler\ButlBr00,OAK,0,0,0,0,0,,0,0,,0,0,0,0,2,1,-2,0,-2,0,0
