Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Nick Foles\FoleNi00,PHI,21,37,331,1,1,0,0,57,84.4,4,22,0,7,0,0,0,0,0,0,0
LeSean McCoy\McCoLe01,PHI,0,0,0,0,0,0,0,0,,19,79,1,21,5,4,23,0,12,0,0
Darren Sproles\SproDa00,PHI,0,0,0,0,0,0,0,0,,4,26,1,19,7,7,152,0,57,0,0
Zach Ertz\ErtzZa00,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,86,0,27,0,0
Jeremy Maclin\MaclJe00,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,11,4,45,1,15,0,0
Jordan Matthews\MattJo00,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,4,1,17,0,17,0,0
Riley Cooper\CoopRi00,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,8,0,8,0,0
Brent Celek\CeleBr00,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Andrew Luck\LuckAn00,IND,20,34,172,3,1,0,0,19,89.3,4,20,0,15,0,0,0,0,0,0,0
Trent Richardson\RichTr00,IND,0,0,0,0,0,0,0,0,,21,79,0,15,1,1,16,0,16,2,1
Ahmad Bradshaw\BradAh00,IND,0,0,0,0,0,0,0,0,,13,70,0,29,5,5,26,2,9,0,0
T.Y. Hilton\HiltT.00,IND,0,0,0,0,0,0,0,0,,0,0,0,0,11,6,65,0,16,0,0
Reggie Wayne\WaynRe00,IND,0,0,0,0,0,0,0,0,,0,0,0,0,7,3,28,0,19,0,0
Donte Moncrief\MoncDo00,IND,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,16,0,16,0,0
Coby Fleener\FleeCo00,IND,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,13,0,13,0,0
Jack Doyle\DoylJa00,IND,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,12,1,10,0,0
Dwayne Allen\AlleDw00,IND,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Hakeem Nicks\NickHa01,IND,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,-4,0,-4,0,0
