Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Austin Davis\DaviAu00,STL,22,29,235,0,0,2,15,27,99.1,1,0,0,0,0,0,0,0,0,1,0
Zac Stacy\StacZa00,STL,0,0,0,0,0,0,0,0,,19,71,1,12,0,0,0,0,0,1,1
Tavon Austin\AustTa00,STL,0,0,0,0,0,0,0,0,,2,21,0,18,1,0,0,0,0,0,0
Benny Cunningham\CunnBe01,STL,0,0,0,0,0,0,0,0,,6,15,0,11,2,1,4,0,4,0,0
Kenny Britt\BritKe00,STL,0,0,0,0,0,0,0,0,,1,12,0,12,1,1,17,0,17,0,0
Brian Quick\QuicBr00,STL,0,0,0,0,0,0,0,0,,0,0,0,0,9,7,74,0,16,0,0
Jared Cook\CookJa02,STL,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,46,0,22,0,0
Austin Pettis\PettAu00,STL,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,46,0,27,0,0
Lance Kendricks\KendLa00,STL,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,25,0,13,0,0
Chris Givens\GiveCh00,STL,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,15,0,15,0,0
Cory Harkey\HarkCo00,STL,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,8,0,6,0,0
Josh McCown\McCoJo01,TAM,16,21,179,0,1,1,4,29,81.3,2,6,2,5,0,0,0,0,0,0,0
Bobby Rainey\RainBo00,TAM,0,0,0,0,0,0,0,0,,22,144,0,31,3,3,30,0,19,0,0
Mike James\JameMi00,TAM,0,0,0,0,0,0,0,0,,6,7,0,8,0,0,0,0,0,0,0
Vincent Jackson\JackVi00,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,51,0,20,0,0
Mike Evans\EvanMi00,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,49,0,29,0,0
Brandon Myers\MyerBr00,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,33,0,24,0,0
Robert Herron\HerrRo00,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,13,0,8,0,0
Jorvorskie Lane\LaneJo00,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,3,0,3,0,0
