Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Matthew Stafford\StafMa00,DET,24,34,293,2,0,4,21,59,116.4,6,8,1,7,0,0,0,0,0,0,0
Reggie Bush\BushRe00,DET,0,0,0,0,0,0,0,0,,12,46,0,16,6,4,19,0,10,0,0
Joique Bell\BellJo01,DET,0,0,0,0,0,0,0,0,,8,32,0,17,4,2,7,0,9,0,0
Theo Riddick\RiddTh00,DET,0,0,0,0,0,0,0,0,,1,2,0,2,0,0,0,0,0,0,0
Golden Tate\TateGo00,DET,0,0,0,0,0,0,0,0,,0,0,0,0,10,8,116,0,35,0,0
Jeremy Ross\RossJe01,DET,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,65,1,59,0,0
Eric Ebron\EbroEr00,DET,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,34,1,16,0,0
Ryan Broyles\BroyRy00,DET,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,21,0,21,0,0
Brandon Pettigrew\PettBr00,DET,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,19,0,11,0,0
Calvin Johnson\JohnCa00,DET,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,12,0,6,0,0
Corey Fuller\FullCo00,DET,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Geno Smith\SmitGe00,NYJ,17,33,209,1,1,2,5,32,68.9,4,4,0,2,0,0,0,0,0,2,1
Chris Ivory\IvorCh00,NYJ,0,0,0,0,0,0,0,0,,17,84,0,17,6,2,16,0,8,0,0
Chris Johnson\JohnCh04,NYJ,0,0,0,0,0,0,0,0,,6,44,1,35,2,2,17,0,10,0,0
Greg Salas\SalaGr00,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,60,0,32,0,0
Jace Amaro\AmarJa00,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,5,5,58,0,21,0,0
Eric Decker\DeckEr00,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,10,4,48,1,18,0,0
David Nelson\NelsDa01,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,7,0,7,0,0
Jeremy Kerley\KerlJe00,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,3,0,3,0,0
Jeff Cumberland\CumbJe00,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Zach Sudfeld\SudfZa00,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
