Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Blake Bortles\BortBl00,JAX,29,37,254,1,2,3,19,44,81.8,5,24,0,8,0,0,0,0,0,0,0
Toby Gerhart\GerhTo00,JAX,0,0,0,0,0,0,0,0,,10,32,1,10,1,1,8,0,8,1,1
Denard Robinson\RobiDe00,JAX,0,0,0,0,0,0,0,0,,9,25,0,10,3,3,7,0,3,0,0
Jordan Todman\TodmJo00,JAX,0,0,0,0,0,0,0,0,,1,4,0,4,2,2,20,0,16,0,0
Clay Harbor\HarbCl00,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,8,8,70,0,30,0,0
Allen Hurns\HurnAl01,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,68,0,44,0,0
Allen Robinson\RobiAl02,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,38,0,14,0,0
Cecil Shorts\ShorCe00,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,25,0,13,0,0
Mike Brown\BrowMi00,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,12,0,12,0,0
Will Ta'ufo'ou\TaufWi00,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,4,0,4,0,0
Nic Jacobs\JacoNi00,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,1,2,0,0
Philip Rivers\RivePh00,SDG,29,39,377,3,0,2,12,47,130.0,1,0,0,0,0,0,0,0,0,1,0
Branden Oliver\OlivBr01,SDG,0,0,0,0,0,0,0,0,,9,23,0,7,4,4,33,0,11,0,0
Donald Brown\BrowDo00,SDG,0,0,0,0,0,0,0,0,,10,19,0,5,6,4,35,0,21,0,0
Keenan Allen\AlleKe00,SDG,0,0,0,0,0,0,0,0,,0,0,0,0,11,10,135,0,24,0,0
Eddie Royal\RoyaEd00,SDG,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,105,2,47,0,0
Malcom Floyd\FloyMa00,SDG,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,39,1,24,0,0
Antonio Gates\GateAn00,SDG,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,30,0,17,0,0
