Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Tom Brady\BradTo00,NWE,14,23,159,1,2,2,8,44,59.9,0,0,0,0,0,0,0,0,0,2,1
Jimmy Garoppolo\GaroJi00,NWE,6,7,70,1,0,1,6,37,147.9,0,0,0,0,0,0,0,0,0,0,0
Stevan Ridley\RidlSt00,NWE,0,0,0,0,0,0,0,0,,5,28,0,8,1,0,0,0,0,0,0
Shane Vereen\VereSh00,NWE,0,0,0,0,0,0,0,0,,8,26,0,9,5,5,41,0,28,0,0
James White\WhitJa02,NWE,0,0,0,0,0,0,0,0,,3,21,0,11,3,3,15,0,11,0,0
Brandon LaFell\LaFeBr00,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,10,6,119,1,44,0,0
Rob Gronkowski\GronRo00,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,31,1,18,0,0
Julian Edelman\EdelJu00,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,8,4,23,0,7,0,0
Alex Smith\SmitAl03,KAN,20,26,248,3,0,2,12,33,144.4,4,8,0,8,0,0,0,0,0,0,0
Knile Davis\DaviKn00,KAN,0,0,0,0,0,0,0,0,,16,107,0,48,2,1,12,0,12,0,0
Jamaal Charles\CharJa00,KAN,0,0,0,0,0,0,0,0,,18,92,1,17,3,3,16,2,8,0,0
Travis Kelce\KelcTr00,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,9,8,93,1,33,0,0
Dwayne Bowe\BoweDw00,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,81,0,33,0,0
Donnie Avery\AverDo00,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,46,0,27,0,0
A.J. Jenkins\JenkA.00,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,0,0,0
Junior Hemingway\HemiJu00,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Anthony Fasano\FasaAn00,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Frankie Hammond\HammFr00,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
