Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Drew Brees\BreeDr00,NOR,32,44,340,2,1,1,4,46,100.6,1,6,0,6,0,0,0,0,0,0,0
Khiry Robinson\RobiKh00,NOR,0,0,0,0,0,0,0,0,,8,87,0,62,3,2,18,0,12,0,0
Pierre Thomas\ThomPi00,NOR,0,0,0,0,0,0,0,0,,2,8,0,8,2,2,15,0,9,0,0
Austin Johnson\JohnAu00,NOR,0,0,0,0,0,0,0,0,,1,2,0,2,0,0,0,0,0,0,0
Travaris Cadet\CadeTr00,NOR,0,0,0,0,0,0,0,0,,1,1,0,1,6,6,59,0,31,1,1
Jimmy Graham\GrahJi00,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,11,8,86,1,17,1,1
Kenny Stills\StilKe00,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,62,0,46,0,0
Marques Colston\ColsMa00,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,11,5,50,0,22,0,0
Brandin Cooks\CookBr00,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,31,0,12,0,0
Josh Hill\HillJo02,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,12,1,12,0,0
Ben Watson\WatsBe00,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,7,0,7,0,0
Robert Meachem\MeacRo00,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Tony Romo\RomoTo00,DAL,22,29,262,3,0,1,7,24,137.4,6,20,0,21,0,0,0,0,0,1,0
DeMarco Murray\MurrDe00,DAL,0,0,0,0,0,0,0,0,,24,149,2,28,1,1,6,0,6,0,0
Joseph Randle\RandJo01,DAL,0,0,0,0,0,0,0,0,,4,22,0,14,0,0,0,0,0,0,0
Terrance Williams\WillTe01,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,7,6,77,2,23,0,0
Jason Witten\WittJa00,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,5,5,61,0,16,0,0
Dez Bryant\BryaDe01,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,44,1,18,0,0
Lance Dunbar\DunbLa00,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,36,0,24,0,0
Cole Beasley\BeasCo00,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,14,0,10,0,0
Gavin Escobar\EscoGa00,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,6,0,0
James Hanna\HannJa00,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Devin Street\StreDe00,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Dwayne Harris\HarrDw00,DAL,0,0,0,0,0,0,0,0,,1,-1,0,-1,2,2,18,0,10,0,0
