Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Brian Hoyer\HoyeBr00,CLE,21,37,291,3,1,1,7,49,97.9,1,2,0,2,0,0,0,0,0,0,0
Ben Tate\TateBe00,CLE,0,0,0,0,0,0,0,0,,22,124,0,15,2,1,-2,0,-2,0,0
Terrance West\WestTe00,CLE,0,0,0,0,0,0,0,0,,7,31,0,9,0,0,0,0,0,0,0
Isaiah Crowell\CrowIs00,CLE,0,0,0,0,0,0,0,0,,6,19,0,11,0,0,0,0,0,0,0
Taylor Gabriel\GabrTa00,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,95,0,49,0,0
Miles Austin\AustMi00,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,54,0,31,0,0
Travis Benjamin\BenjTr00,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,48,2,21,0,0
Jordan Cameron\CameJo00,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,7,3,33,0,19,0,0
Andrew Hawkins\HawkAn00,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,9,3,26,0,11,0,0
Jim Dray\DrayJi00,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,25,1,14,0,0
Ray Agnew\AgneRa00,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,12,0,12,0,0
Charlie Whitehurst\WhitCh02,TEN,13,21,194,2,0,2,11,75,123.9,2,-1,0,0,0,0,0,0,0,0,0
Jake Locker\LockJa00,TEN,8,11,79,1,0,1,1,21,122.9,4,34,1,12,0,0,0,0,0,0,0
Kendall Wright\WrigKe01,TEN,0,0,0,0,0,0,0,0,,2,43,0,38,8,6,47,2,16,0,0
Shonn Greene\GreeSh00,TEN,0,0,0,0,0,0,0,0,,11,36,0,10,2,0,0,0,0,0,0
Bishop Sankey\SankBi00,TEN,0,0,0,0,0,0,0,0,,8,27,0,11,1,0,0,0,0,0,0
Dexter McCluster\McClDe00,TEN,0,0,0,0,0,0,0,0,,3,10,0,8,2,1,-2,0,-2,0,0
Justin Hunter\HuntJu00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,99,1,75,0,0
Nate Washington\WashNa00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,57,0,20,0,0
Delanie Walker\WalkHu00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,47,0,21,0,0
Chase Coffman\CoffCh00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,18,0,9,0,0
Leon Washington\WashLe00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,7,0,7,0,0
