Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Russell Wilson\WilsRu00,SEA,18,24,201,2,0,3,23,36,127.3,11,122,1,29,0,0,0,0,0,2,0
Marshawn Lynch\LyncMa00,SEA,0,0,0,0,0,0,0,0,,17,72,0,17,6,5,45,1,30,0,0
Robert Turbin\TurbRo00,SEA,0,0,0,0,0,0,0,0,,5,19,0,9,0,0,0,0,0,0,0
Percy Harvin\HarvPe00,SEA,0,0,0,0,0,0,0,0,,2,7,0,6,5,4,27,0,13,0,0
Jon Ryan\RyanJo21,SEA,0,0,0,0,0,0,0,0,,1,5,0,5,0,0,0,0,0,0,0
Doug Baldwin\BaldDo00,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,50,0,20,0,0
Cooper Helfet\HelfCo00,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,36,0,36,0,0
Luke Willson\WillLu00,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,28,0,19,0,0
Jermaine Kearse\KearJe01,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,15,1,15,0,0
Kirk Cousins\CousKi00,WAS,21,36,283,2,0,1,8,60,102.0,2,4,0,4,0,0,0,0,0,0,0
Alfred Morris\MorrAl00,WAS,0,0,0,0,0,0,0,0,,13,29,0,11,1,1,-2,0,-2,1,0
DeSean Jackson\JackDe00,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,11,5,157,1,60,0,0
Andre Roberts\RobeAn00,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,9,5,29,1,7,0,0
Pierre Garcon\GarcPi00,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,23,0,18,0,0
Logan Paulsen\PaulLo00,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,11,0,7,0,0
Niles Paul\PaulNi00,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,6,0,6,0,0
Roy Helu\HeluRo00,WAS,0,0,0,0,0,0,0,0,,2,-1,0,4,7,5,59,0,22,0,0
