Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Joe Flacco\FlacJo00,BAL,21,28,306,5,0,0,0,56,149.7,0,0,0,0,0,0,0,0,0,0,0
Justin Forsett\ForsJu00,BAL,0,0,0,0,0,0,0,0,,14,111,0,52,0,0,0,0,0,0,0
Bernard Pierce\PierBe00,BAL,0,0,0,0,0,0,0,0,,15,32,1,6,0,0,0,0,0,0,0
Lorenzo Taliaferro\TaliLo00,BAL,0,0,0,0,0,0,0,0,,2,29,0,25,2,2,18,0,13,0,0
Steve Smith\SmitSt01,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,110,1,56,0,0
Torrey Smith\SmitTo02,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,51,2,18,0,0
Owen Daniels\DaniOw00,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,34,0,30,0,0
Kyle Juszczyk\JuszKy00,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,29,0,18,0,0
Michael Campanaro\CampMi02,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,28,1,19,0,0
Kamar Aiken\AikeKa00,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,20,1,17,0,0
Crockett Gillmore\GillCr00,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,16,0,11,0,0
Jacoby Jones\JoneJa03,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Tyrod Taylor\TaylTy00,BAL,0,0,0,0,0,0,0,0,,4,-3,0,0,0,0,0,0,0,0,0
Mike Glennon\GlenMi00,TAM,24,44,314,2,1,5,37,33,83.0,0,0,0,0,0,0,0,0,0,1,0
Doug Martin\MartDo00,TAM,0,0,0,0,0,0,0,0,,11,45,0,19,2,1,3,0,3,0,0
Bobby Rainey\RainBo00,TAM,0,0,0,0,0,0,0,0,,7,42,0,21,3,0,0,0,0,0,0
Louis Murphy\MurpLo00,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,9,7,72,1,24,0,0
Vincent Jackson\JackVi00,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,13,4,66,0,33,0,0
Austin Seferian-Jenkins\SefeAu00,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,58,0,30,0,0
Mike Evans\EvanMi00,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,8,4,55,1,25,0,0
Robert Herron\HerrRo00,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,31,0,16,0,0
Brandon Myers\MyerBr00,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,29,0,26,0,0
