Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Aaron Rodgers\RodgAa00,GNB,24,42,264,3,0,3,16,28,99.7,7,34,0,9,0,0,0,0,0,1,0
Eddie Lacy\LacyEd00,GNB,0,0,0,0,0,0,0,0,,14,40,0,10,0,0,0,0,0,0,0
James Starks\StarJa00,GNB,0,0,0,0,0,0,0,0,,8,31,0,12,5,2,11,0,10,0,0
John Kuhn\KuhnJo00,GNB,0,0,0,0,0,0,0,0,,4,15,0,5,0,0,0,0,0,0,0
Randall Cobb\CobbRa00,GNB,0,0,0,0,0,0,0,0,,1,1,0,1,7,5,58,1,28,0,0
Jordy Nelson\NelsJo00,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,16,9,107,1,22,0,0
Davante Adams\AdamDa01,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,8,6,77,0,24,0,0
Andrew Quarless\QuarAn00,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,11,1,7,0,0
Ryan Tannehill\TannRy00,MIA,20,31,244,2,2,1,7,25,83.3,3,49,0,40,0,0,0,0,0,0,0
Lamar Miller\MillLa01,MIA,0,0,0,0,0,0,0,0,,14,53,1,14,3,3,40,0,20,1,1
Knowshon Moreno\MoreKn00,MIA,0,0,0,0,0,0,0,0,,6,10,0,5,1,1,8,0,8,0,0
Jarvis Landry\LandJa00,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,8,6,75,1,21,0,0
Mike Wallace\WallMi00,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,9,5,67,1,25,0,0
Charles Clay\ClayCh00,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,35,0,14,0,0
Damian Williams\WillDa04,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,14,0,14,0,0
Dion Sims\SimsDi00,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,5,0,5,0,0
Brian Hartline\HartBr00,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
