Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Kirk Cousins\CousKi00,WAS,24,38,354,2,3,2,19,64,78.2,0,0,0,0,0,0,0,0,0,0,0
Alfred Morris\MorrAl00,WAS,0,0,0,0,0,0,0,0,,13,41,0,9,3,1,14,0,14,0,0
Roy Helu\HeluRo00,WAS,0,0,0,0,0,0,0,0,,3,26,0,16,2,2,40,0,33,0,0
DeSean Jackson\JackDe00,WAS,0,0,0,0,0,0,0,0,,1,5,0,5,5,3,115,1,64,0,0
Jordan Reed\ReedJo02,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,11,8,92,0,20,0,0
Andre Roberts\RobeAn00,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,9,5,55,0,22,1,1
Pierre Garcon\GarcPi00,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,31,1,15,0,0
Niles Paul\PaulNi00,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,7,0,7,0,0
Carson Palmer\PalmCa00,ARI,28,44,250,2,0,1,7,24,93.9,1,-3,0,-3,0,0,0,0,0,1,0
Andre Ellington\ElliAn00,ARI,0,0,0,0,0,0,0,0,,19,67,0,18,9,6,26,0,10,0,0
Stepfan Taylor\TaylSt00,ARI,0,0,0,0,0,0,0,0,,3,10,0,8,2,1,0,0,0,0,0
Larry Fitzgerald\FitzLa00,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,6,6,98,1,24,0,0
Michael Floyd\FloyMi00,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,47,1,20,1,0
John Brown\BrowJo02,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,43,0,15,0,0
Rob Housler\HousRo01,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,15,0,15,0,0
John Carlson\CarlJo00,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,14,0,13,0,0
Robert Hughes\HughRo00,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,7,0,7,0,0
Ted Ginn\GinnTe00,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Jaron Brown\BrowJa03,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
