Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Matthew Stafford\StafMa00,DET,24,47,325,2,1,0,0,59,78.8,3,9,0,10,0,0,0,0,0,1,0
Joique Bell\BellJo01,DET,0,0,0,0,0,0,0,0,,14,39,0,9,3,2,22,0,11,0,0
Theo Riddick\RiddTh00,DET,0,0,0,0,0,0,0,0,,3,5,0,5,12,8,74,1,20,0,0
Jed Collins\CollJe01,DET,0,0,0,0,0,0,0,0,,2,5,0,3,0,0,0,0,0,0,0
George Winn\WinnGe00,DET,0,0,0,0,0,0,0,0,,1,2,0,2,1,0,0,0,0,0,0
Golden Tate\TateGo00,DET,0,0,0,0,0,0,0,0,,0,0,0,0,15,7,151,1,59,0,0
Corey Fuller\FullCo00,DET,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,43,0,16,0,0
Jeremy Ross\RossJe01,DET,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,31,0,15,1,0
Ryan Broyles\BroyRy00,DET,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,4,0,4,0,0
Kellen Davis\DaviKe01,DET,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
Matt Ryan\RyanMa00,ATL,20,27,228,2,1,2,15,24,108.3,1,6,0,6,0,0,0,0,0,2,0
Steven Jackson\JackSt00,ATL,0,0,0,0,0,0,0,0,,18,60,1,13,0,0,0,0,0,0,0
Devonta Freeman\FreeDe00,ATL,0,0,0,0,0,0,0,0,,3,5,0,2,1,1,7,1,7,0,0
Antone Smith\SmitAn01,ATL,0,0,0,0,0,0,0,0,,3,5,0,3,0,0,0,0,0,0,0
Jacquizz Rodgers\RodgJa00,ATL,0,0,0,0,0,0,0,0,,1,2,0,2,3,3,28,0,13,0,0
Roddy White\WhitRo00,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,66,0,24,1,0
Julio Jones\JoneJu02,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,58,0,22,0,0
Harry Douglas\DougHa00,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,42,0,16,0,0
Levine Toilolo\ToilLe00,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,26,0,15,0,0
Bear Pascoe\PascBe00,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,1,1,0,0
Patrick DiMarco\DiMaPa00,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,0,0,0,0,0
