Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Austin Davis\DaviAu00,STL,15,25,160,1,1,7,44,43,75.4,1,1,0,1,0,0,0,0,0,0,0
Tre Mason\MasoTr00,STL,0,0,0,0,0,0,0,0,,7,32,0,14,1,1,1,0,1,0,0
Benny Cunningham\CunnBe01,STL,0,0,0,0,0,0,0,0,,4,27,0,18,1,1,8,0,8,0,0
Zac Stacy\StacZa00,STL,0,0,0,0,0,0,0,0,,5,17,0,9,4,3,20,0,8,0,0
Tavon Austin\AustTa00,STL,0,0,0,0,0,0,0,0,,2,7,0,4,2,2,12,0,9,0,0
Kenny Britt\BritKe00,STL,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,52,0,43,0,0
Stedman Bailey\BailSt01,STL,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,33,0,20,0,0
Chris Givens\GiveCh00,STL,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,12,0,12,0,0
Jared Cook\CookJa02,STL,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,11,0,11,0,0
Brian Quick\QuicBr00,STL,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,10,0,10,0,0
Lance Kendricks\KendLa00,STL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,1,1,0,0
Alex Smith\SmitAl03,KAN,25,29,223,0,0,2,8,30,98.7,3,24,0,15,0,0,0,0,0,1,0
Jamaal Charles\CharJa00,KAN,0,0,0,0,0,0,0,0,,14,67,2,36,4,4,44,0,30,1,1
Knile Davis\DaviKn00,KAN,0,0,0,0,0,0,0,0,,16,49,1,15,1,0,0,0,0,0,0
Dwayne Bowe\BoweDw00,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,6,6,64,0,16,0,0
Travis Kelce\KelcTr00,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,45,0,17,0,0
Anthony Sherman\SherAn00,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,24,0,24,0,0
Anthony Fasano\FasaAn00,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,19,0,7,0,0
De'Anthony Thomas\ThomDe05,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,14,0,17,0,0
Frankie Hammond\HammFr00,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,9,0,9,0,0
Demetrius Harris\HarrDe03,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,4,0,4,0,0
