Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Drew Brees\BreeDr00,NOR,24,34,297,1,1,4,27,27,94.9,4,2,1,3,0,0,0,0,0,2,1
Mark Ingram\IngrMa01,NOR,0,0,0,0,0,0,0,0,,30,100,2,19,2,1,10,0,10,0,0
Edwin Baker\BakeEd01,NOR,0,0,0,0,0,0,0,0,,1,2,0,2,0,0,0,0,0,0,0
Travaris Cadet\CadeTr00,NOR,0,0,0,0,0,0,0,0,,2,1,0,3,5,3,29,0,20,0,0
Jimmy Graham\GrahJi00,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,7,7,83,1,27,0,0
Kenny Stills\StilKe00,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,8,5,72,0,18,1,0
Brandin Cooks\CookBr00,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,38,0,18,0,0
Marques Colston\ColsMa00,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,36,0,22,0,0
Robert Meachem\MeacRo00,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,25,0,25,0,0
Ben Watson\WatsBe00,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,4,0,4,0,0
Josh Hill\HillJo02,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
Erik Lorig\LoriEr99,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Cam Newton\NewtCa00,CAR,10,28,151,0,1,4,29,47,39.4,7,43,1,14,0,0,0,0,0,1,1
Jonathan Stewart\StewJo00,CAR,0,0,0,0,0,0,0,0,,8,46,0,13,0,0,0,0,0,0,0
DeAngelo Williams\WillDe02,CAR,0,0,0,0,0,0,0,0,,7,20,0,7,1,1,30,0,30,0,0
Jerricho Cotchery\CotcJe00,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,59,0,47,0,0
Greg Olsen\OlseGr00,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,30,0,11,0,0
Kelvin Benjamin\BenjKe00,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,10,2,18,0,12,0,0
Jason Avant\AvanJa00,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,4,1,8,0,8,0,0
Brandon Williams\WillBr04,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,6,0,0
Ed Dickson\DickEd00,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
Brenton Bersin\BersBr00,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
