Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Philip Rivers\RivePh00,SDG,12,23,138,0,3,3,11,18,31.0,1,3,0,3,0,0,0,0,0,1,1
Kellen Clemens\ClemKe00,SDG,1,3,10,0,0,1,9,10,43.7,0,0,0,0,0,0,0,0,0,0,0
Donald Brown\BrowDo00,SDG,0,0,0,0,0,0,0,0,,4,23,0,16,2,1,6,0,6,0,0
Branden Oliver\OlivBr01,SDG,0,0,0,0,0,0,0,0,,13,19,0,11,2,1,7,0,7,0,0
Ronnie Brown\BrowRo05,SDG,0,0,0,0,0,0,0,0,,1,5,0,5,1,0,0,0,0,0,0
Malcom Floyd\FloyMa00,SDG,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,60,0,18,0,0
Keenan Allen\AlleKe00,SDG,0,0,0,0,0,0,0,0,,0,0,0,0,9,4,47,0,17,0,0
Antonio Gates\GateAn00,SDG,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,28,0,10,0,0
Ladarius Green\GreeLa00,SDG,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Eddie Royal\RoyaEd00,SDG,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Ryan Tannehill\TannRy00,MIA,24,34,288,3,0,0,0,38,125.6,4,47,0,22,0,0,0,0,0,1,0
Matt Moore\MoorMa01,MIA,2,4,21,0,0,0,0,14,65.6,0,0,0,0,0,0,0,0,0,0,0
Mike Wallace\WallMi00,MIA,0,1,0,0,0,0,0,0,39.6,0,0,0,0,8,3,50,0,38,0,0
Lamar Miller\MillLa01,MIA,0,0,0,0,0,0,0,0,,11,49,1,14,2,1,8,0,8,0,0
Damien Williams\WillDa05,MIA,0,0,0,0,0,0,0,0,,11,28,0,9,2,2,23,0,21,0,0
Daniel Thomas\ThomDa03,MIA,0,0,0,0,0,0,0,0,,9,8,0,5,2,2,14,0,12,0,0
Charles Clay\ClayCh00,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,8,5,65,1,24,0,0
Brian Hartline\HartBr00,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,50,0,18,0,0
Jarvis Landry\LandJa00,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,46,1,14,0,0
Rishard Matthews\MattRi00,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,21,1,21,0,0
Brandon Gibson\GibsBr00,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,18,0,18,0,0
Gator Hoskins\HoskHa00,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,14,0,14,0,0
