Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Mike Glennon\GlenMi00,TAM,17,33,260,2,2,2,8,34,72.8,3,17,0,9,0,0,0,0,0,0,0
Bobby Rainey\RainBo00,TAM,0,0,0,0,0,0,0,0,,19,87,0,21,3,1,34,0,34,0,0
Mike James\JameMi00,TAM,0,0,0,0,0,0,0,0,,4,9,0,6,0,0,0,0,0,0,0
Mike Evans\EvanMi00,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,11,7,124,2,31,0,0
Vincent Jackson\JackVi00,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,12,6,86,0,22,0,0
Louis Murphy\MurpLo00,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,13,0,9,0,0
Austin Seferian-Jenkins\SefeAu00,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,3,0,3,0,0
Brian Hoyer\HoyeBr00,CLE,21,34,300,2,2,4,26,34,85.4,2,5,0,3,0,0,0,0,0,0,0
Terrance West\WestTe00,CLE,0,0,0,0,0,0,0,0,,15,48,0,10,1,1,2,1,2,0,0
Ben Tate\TateBe00,CLE,0,0,0,0,0,0,0,0,,10,3,0,4,4,4,29,0,16,0,0
Taylor Gabriel\GabrTa00,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,87,1,34,0,0
Miles Austin\AustMi00,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,54,0,25,0,0
Travis Benjamin\BenjTr00,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,52,0,31,0,0
Andrew Hawkins\HawkAn00,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,8,3,34,0,20,0,0
Jim Dray\DrayJi00,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,26,0,26,0,0
Gary Barnidge\BarnGa01,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,16,0,13,0,0
