Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Cam Newton\NewtCa00,CAR,18,31,175,1,1,2,17,37,71.3,14,35,0,10,0,0,0,0,0,0,0
Jonathan Stewart\StewJo00,CAR,0,0,0,0,0,0,0,0,,18,56,0,22,4,4,25,0,9,0,0
Mike Tolbert\TolbMi00,CAR,0,0,0,0,0,0,0,0,,1,12,0,12,2,1,6,0,6,0,0
Fozzy Whittaker\WhitFo00,CAR,0,0,0,0,0,0,0,0,,2,2,0,2,2,2,3,0,5,0,0
Ted Ginn\GinnTe00,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,7,2,54,0,37,0,0
Jerricho Cotchery\CotcJe00,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,45,1,24,0,0
Corey Brown\BrowPh00,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,13,0,7,0,0
Greg Olsen\OlseGr00,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,11,0,11,0,0
Devin Funchess\FuncDe00,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,9,0,9,0,0
Ed Dickson\DickEd00,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,9,0,9,0,0
Blake Bortles\BortBl00,JAX,22,40,183,1,2,5,14,27,54.5,4,26,0,12,0,0,0,0,0,0,0
T.J. Yeldon\YeldT.00,JAX,0,0,0,0,0,0,0,0,,12,51,0,14,4,3,16,0,7,0,0
Denard Robinson\RobiDe00,JAX,0,0,0,0,0,0,0,0,,5,19,0,6,2,2,26,0,15,0,0
Allen Hurns\HurnAl01,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,60,0,24,1,1
Rashad Greene\GreeRa00,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,13,7,28,1,6,0,0
Allen Robinson\RobiAl02,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,6,1,27,0,27,0,0
Bryan Walters\WaltBr00,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,17,0,13,0,0
Corey Grant\GranCo00,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,5,0,5,0,0
Bernard Pierce\PierBe00,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,4,0,4,0,0
Clay Harbor\HarbCl00,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Nic Jacobs\JacoNi00,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
