Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Alex Smith\SmitAl03,KAN,17,31,204,1,0,2,7,80,86.0,6,33,0,17,0,0,0,0,0,0,0
Charcandrick West\WestCh01,KAN,0,0,0,0,0,0,0,0,,24,69,1,15,5,3,92,1,80,0,0
Spencer Ware\WareSp00,KAN,0,0,0,0,0,0,0,0,,2,4,0,4,0,0,0,0,0,0,0
De'Anthony Thomas\ThomDe05,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,37,0,36,0,0
Travis Kelce\KelcTr00,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,9,5,36,0,9,0,0
Jeremy Maclin\MaclJe00,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,17,0,9,0,0
Albert Wilson\WilsAl02,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,4,1,16,0,16,0,0
Brian Parker\ParkBr00,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,6,0,0
Jason Avant\AvanJa00,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Brock Osweiler\OsweBr00,DEN,14,24,146,1,1,3,20,17,72.6,3,18,0,8,0,0,0,0,0,0,0
Peyton Manning\MannPe00,DEN,5,20,35,0,4,2,9,17,0.0,0,0,0,0,0,0,0,0,0,1,0
Ronnie Hillman\HillRo00,DEN,0,0,0,0,0,0,0,0,,11,42,1,19,4,2,9,0,5,0,0
C.J. Anderson\AndeC.00,DEN,0,0,0,0,0,0,0,0,,2,9,0,5,1,0,0,0,0,0,0
Demaryius Thomas\ThomDe03,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,10,7,71,0,17,0,0
Cody Latimer\LatiCo00,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,30,0,15,0,0
Vernon Davis\DaviVe00,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,19,0,11,0,0
Bennie Fowler\FowlBe00,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,17,0,17,0,0
Owen Daniels\DaniOw00,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,5,1,14,0,14,0,0
Andre Caldwell\CaldAn00,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,13,1,7,0,0
Virgil Green\GreeVi00,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,8,0,8,0,0
Emmanuel Sanders\SandEm00,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,4,0,0,0,0,0,0
Juwan Thompson\ThomJu01,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
