Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Teddy Bridgewater\BridTe00,MIN,14,22,140,1,0,4,18,37,96.8,2,23,0,18,0,0,0,0,0,1,0
Adrian Peterson\PeteAd01,MIN,0,0,0,0,0,0,0,0,,26,203,1,80,3,2,13,0,16,0,0
Adam Thielen\ThieAd00,MIN,0,0,0,0,0,0,0,0,,1,14,0,14,0,0,0,0,0,0,0
Stefon Diggs\DiggSt00,MIN,0,0,0,0,0,0,0,0,,1,10,0,10,2,2,46,0,37,0,0
Matt Asiata\AsiaMa00,MIN,0,0,0,0,0,0,0,0,,2,7,0,6,2,2,18,0,11,0,0
Cordarrelle Patterson\PattCo00,MIN,0,0,0,0,0,0,0,0,,1,6,0,6,0,0,0,0,0,0,0
Mike Wallace\WallMi00,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,22,0,22,0,0
Rhett Ellison\ElliRh00,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,18,1,11,0,0
Jerick McKinnon\McKiJe00,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,7,0,7,0,0
Kyle Rudolph\RudoKy00,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,4,1,7,0,7,0,0
MyCole Pruitt\PruiMy00,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,7,0,4,0,0
Jarius Wright\WrigJa02,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,2,0,2,0,0
Derek Carr\CarrDe02,OAK,29,43,302,2,2,2,15,38,83.7,2,12,0,11,0,0,0,0,0,0,0
Latavius Murray\MurrLa00,OAK,0,0,0,0,0,,0,0,,12,48,0,14,5,5,29,0,8,0,0
Jamize Olawale\OlawJa00,OAK,0,0,0,0,0,,0,0,,5,24,0,10,3,3,35,0,14,0,0
Amari Cooper\CoopAm00,OAK,0,0,0,0,0,,0,0,,0,0,0,0,9,5,79,0,38,0,0
Michael Crabtree\CrabMi00,OAK,0,0,0,0,0,,0,0,,0,0,0,0,5,4,55,0,22,0,0
Mychal Rivera\RiveMy00,OAK,0,0,0,0,0,,0,0,,0,0,0,0,7,6,46,0,17,1,0
Andre Holmes\HolmAn00,OAK,0,0,0,0,0,,0,0,,0,0,0,0,2,1,34,1,34,0,0
Clive Walford\WalfCl00,OAK,0,0,0,0,0,,0,0,,0,0,0,0,3,2,18,1,10,0,0
Seth Roberts\RobeSe00,OAK,0,0,0,0,0,,0,0,,0,0,0,0,4,1,5,0,5,0,0
Lee Smith\SmitLe00,OAK,0,0,0,0,0,,0,0,,0,0,0,0,1,1,1,0,1,0,0
Marcel Reece\ReecMa00,OAK,0,0,0,0,0,,0,0,,0,0,0,0,2,1,0,0,0,0,0
