Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Kirk Cousins\CousKi00,WAS,22,30,207,1,1,5,35,56,89.2,1,4,0,4,0,0,0,0,0,2,2
Chris Thompson\ThomCh03,WAS,0,0,0,0,0,0,0,0,,4,10,0,6,4,3,7,0,6,1,0
DeSean Jackson\JackDe00,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,8,5,87,1,56,0,0
Jordan Reed\ReedJo02,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,8,6,46,0,13,1,1
Pierre Garcon\GarcPi00,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,43,0,17,0,0
Matt Jones\JoneMa04,WAS,0,0,0,0,0,0,0,0,,5,0,0,2,2,2,12,0,7,1,1
Derek Carrier\CarrDe00,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,7,0,5,0,0
Jamison Crowder\CrowJa00,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,5,0,5,0,0
Alfred Morris\MorrAl00,WAS,0,0,0,0,0,0,0,0,,2,0,0,2,0,0,0,0,0,0,0
Cam Newton\NewtCa00,CAR,21,34,246,5,0,2,20,35,123.3,4,16,0,9,0,0,0,0,0,0,0
Jonathan Stewart\StewJo00,CAR,0,0,0,0,0,0,0,0,,21,102,0,15,1,1,12,1,12,0,0
Ted Ginn\GinnTe00,CAR,0,0,0,0,0,0,0,0,,2,12,0,11,8,5,37,1,17,0,0
Fozzy Whittaker\WhitFo00,CAR,0,0,0,0,0,0,0,0,,2,6,0,4,1,1,2,0,2,0,0
Mike Tolbert\TolbMi00,CAR,0,0,0,0,0,0,0,0,,7,5,0,6,2,2,5,1,3,0,0
Derek Anderson\AndeDe00,CAR,0,0,0,0,0,0,0,0,,2,2,0,2,0,0,0,0,0,1,0
Devin Funchess\FuncDe00,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,8,4,64,1,35,0,0
Jerricho Cotchery\CotcJe00,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,57,0,19,0,0
Greg Olsen\OlseGr00,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,54,1,34,0,0
Brenton Bersin\BersBr00,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,15,0,15,0,0
Ed Dickson\DickEd00,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Brad Nortman\NortBr00,CAR,0,0,0,0,0,0,0,0,,1,-1,0,-1,0,0,0,0,0,0,0
