Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Derek Carr\CarrDe02,OAK,24,37,330,3,0,1,7,41,120.3,4,5,0,5,0,0,0,0,0,2,1
Matt McGloin\McGlMa01,OAK,0,1,0,0,0,0,0,0,39.6,0,0,0,0,0,0,0,0,0,0,0
Latavius Murray\MurrLa00,OAK,0,0,0,0,0,,0,0,,22,59,0,8,3,1,23,0,23,0,0
Jamize Olawale\OlawJa00,OAK,0,0,0,0,0,,0,0,,2,17,0,10,1,0,0,0,0,0,0
Roy Helu\HeluRo00,OAK,0,0,0,0,0,,0,0,,2,3,0,2,0,0,0,0,0,0,0
Amari Cooper\CoopAm00,OAK,0,0,0,0,0,,0,0,,0,0,0,0,12,7,115,0,41,0,0
Seth Roberts\RobeSe00,OAK,0,0,0,0,0,,0,0,,0,0,0,0,7,6,113,2,38,0,0
Mychal Rivera\RiveMy00,OAK,0,0,0,0,0,,0,0,,0,0,0,0,2,2,28,0,19,0,0
Michael Crabtree\CrabMi00,OAK,0,0,0,0,0,,0,0,,0,0,0,0,8,4,19,1,7,0,0
Clive Walford\WalfCl00,OAK,0,0,0,0,0,,0,0,,0,0,0,0,2,1,14,0,14,0,0
Andre Holmes\HolmAn00,OAK,0,0,0,0,0,,0,0,,0,0,0,0,1,1,9,0,9,0,0
Marcel Reece\ReecMa00,OAK,0,0,0,0,0,,0,0,,0,0,0,0,1,1,7,0,7,0,0
Lee Smith\SmitLe00,OAK,0,0,0,0,0,,0,0,,0,0,0,0,1,1,2,0,2,0,0
Marcus Mariota\MariMa01,TEN,17,37,218,3,2,2,13,36,69.4,1,7,0,7,0,0,0,0,0,0,0
Antonio Andrews\AndrAn00,TEN,0,0,0,0,0,0,0,0,,11,32,0,11,2,1,14,0,14,0,0
David Cobb\CobbDa00,TEN,0,0,0,0,0,0,0,0,,3,8,0,3,1,0,0,0,0,0,0
Jalston Fowler\FowlJa00,TEN,0,0,0,0,0,0,0,0,,1,1,0,1,1,1,1,1,1,0,0
Delanie Walker\WalkHu00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,8,6,91,0,36,0,0
Harry Douglas\DougHa00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,8,3,29,1,13,0,0
Dorial Green-Beckham\GreeDo00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,5,1,22,0,22,0,0
Anthony Fasano\FasaAn00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,22,0,17,0,0
Craig Stevens\StevCr00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,20,1,20,0,0
Kendall Wright\WrigKe01,TEN,0,0,0,0,0,0,0,0,,2,-4,0,0,7,2,19,0,12,0,0
