Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Ben Roethlisberger\RoetBe00,PIT,36,55,456,1,2,2,10,69,82.1,5,18,0,8,0,0,0,0,0,1,0
Landry Jones\JoneLa02,PIT,1,4,34,0,2,0,0,34,22.9,0,0,0,0,0,0,0,0,0,0,0
DeAngelo Williams\WillDe02,PIT,0,0,0,0,0,0,0,0,,8,29,1,7,7,7,88,0,34,0,0
Martavis Bryant\BryaMa00,PIT,0,0,0,0,0,0,0,0,,1,11,1,11,13,5,69,0,40,0,0
Markus Wheaton\WheaMa00,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,13,9,201,1,69,0,0
Antonio Brown\BrowAn04,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,12,6,51,0,15,0,0
Heath Miller\MillHe00,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,45,0,17,0,0
Will Johnson\JohnWi00,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,16,0,11,0,0
Jesse James\JameJe00,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,8,0,8,0,0
Matt Spaeth\SpaeMa00,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,6,0,0
Roosevelt Nix\NixxRo01,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,6,0,0
Alejandro Villanueva\VillAl00,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Russell Wilson\WilsRu00,SEA,21,30,345,5,0,2,9,80,147.9,4,14,0,10,0,0,0,0,0,1,0
Thomas Rawls\RawlTh00,SEA,0,0,0,0,0,0,0,0,,21,81,1,17,1,0,0,0,0,0,0
Fred Jackson\JackFr02,SEA,0,0,0,0,0,0,0,0,,1,4,0,4,2,2,7,0,8,0,0
Derrick Coleman\ColeDe00,SEA,0,0,0,0,0,0,0,0,,1,1,0,1,0,0,0,0,0,0,0
Doug Baldwin\BaldDo00,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,8,6,145,3,80,0,0
Jimmy Graham\GrahJi00,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,8,4,75,0,36,0,0
Jermaine Kearse\KearJe01,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,47,2,22,1,0
Tyler Lockett\LockTy00,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,38,0,16,0,0
Kevin Smith\SmitKe04,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,21,0,21,0,0
Luke Willson\WillLu00,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,12,0,12,0,0
