Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Cam Newton\NewtCa00,CAR,16,27,183,0,0,1,18,31,79.7,12,45,1,11,0,0,0,0,0,1,0
Jonathan Stewart\StewJo00,CAR,0,0,0,0,0,0,0,0,,21,68,0,8,4,3,9,0,7,0,0
Mike Tolbert\TolbMi00,CAR,0,0,0,0,0,0,0,0,,4,16,0,5,1,0,0,0,0,0,0
Jerricho Cotchery\CotcJe00,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,73,0,24,0,0
Greg Olsen\OlseGr00,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,9,5,70,0,31,0,0
Devin Funchess\FuncDe00,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,19,0,15,0,0
Brenton Bersin\BersBr00,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,12,0,12,0,0
Ed Dickson\DickEd00,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Tony Romo\RomoTo00,DAL,11,21,106,0,3,1,10,21,27.2,0,0,0,0,0,0,0,0,0,0,0
Matt Cassel\CassMa00,DAL,13,19,93,1,0,1,10,14,97.0,2,9,0,5,0,0,0,0,0,0,0
Darren McFadden\McFaDa00,DAL,0,0,0,0,0,0,0,0,,10,11,0,8,6,4,45,0,21,0,0
Robert Turbin\TurbRo00,DAL,0,0,0,0,0,0,0,0,,2,11,0,8,1,1,1,0,1,0,0
Cole Beasley\BeasCo00,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,7,6,44,1,17,0,0
Terrance Williams\WillTe01,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,39,0,13,0,0
Jason Witten\WittJa00,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,36,0,14,0,0
Dez Bryant\BryaDe01,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,8,2,26,0,20,0,0
Rod Smith\SmitRo06,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,6,0,0
Lucky Whitehead\WhitLu00,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,4,0,4,0,0
Gavin Escobar\EscoGa00,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,-2,0,-2,0,0
