Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Teddy Bridgewater\BridTe00,MIN,20,28,174,0,1,0,0,23,72.6,4,-3,0,1,0,0,0,0,0,0,0
Adrian Peterson\PeteAd01,MIN,0,0,0,0,0,0,0,0,,29,158,2,35,4,2,29,0,18,0,0
Jerick McKinnon\McKiJe00,MIN,0,0,0,0,0,0,0,0,,5,33,0,10,0,0,0,0,0,0,0
Matt Asiata\AsiaMa00,MIN,0,0,0,0,0,0,0,0,,1,3,0,3,3,3,17,0,8,0,0
Kyle Rudolph\RudoKy00,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,10,7,53,0,13,0,0
Stefon Diggs\DiggSt00,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,31,0,16,0,0
Rhett Ellison\ElliRh00,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,23,0,23,0,0
Jarius Wright\WrigJa02,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,13,0,8,0,0
Zach Line\LineZa01,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,8,0,8,0,0
Matt Ryan\RyanMa00,ATL,22,31,230,1,2,2,17,22,76.0,1,-1,0,-1,0,0,0,0,0,1,0
Tevin Coleman\ColeTe01,ATL,0,0,0,0,0,0,0,0,,18,110,0,46,2,0,0,0,0,1,1
Terron Ward\WardTe00,ATL,0,0,0,0,0,0,0,0,,5,7,0,6,2,1,8,0,8,0,0
Jacob Tamme\TammJa00,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,69,0,22,0,0
Roddy White\WhitRo00,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,8,6,60,0,20,0,0
Julio Jones\JoneJu02,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,56,0,19,0,0
Justin Hardy\HardJu00,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,21,0,11,0,0
Nick Williams\WillNi02,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,16,1,11,0,0
