Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Tom Brady\BradTo00,NWE,23,42,280,3,0,3,18,63,99.3,0,0,0,0,0,0,0,0,0,0,0
LeGarrette Blount\BlouLe00,NWE,0,0,0,0,0,0,0,0,,9,27,0,9,0,0,0,0,0,0,0
Brandon Bolden\BoldBr00,NWE,0,0,0,0,0,0,0,0,,4,11,0,9,4,4,84,1,63,0,0
James White\WhitJa02,NWE,0,0,0,0,0,0,0,0,,3,1,0,1,5,2,5,0,5,0,0
Rob Gronkowski\GronRo00,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,10,6,88,1,23,0,0
Scott Chandler\ChanSc00,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,11,5,58,1,22,0,0
Brandon LaFell\LaFeBr00,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,9,4,36,0,14,0,0
Keshawn Martin\MartKe01,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,8,0,8,0,0
Asante Cleveland\ClevAs00,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,1,0,0
Chris Harper\HarpCh01,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,1,1
Brock Osweiler\OsweBr00,DEN,23,42,270,1,1,3,16,39,72.5,2,4,0,3,0,0,0,0,0,0,0
C.J. Anderson\AndeC.00,DEN,0,0,0,0,0,0,0,0,,15,113,2,48,4,4,40,0,20,0,0
Ronnie Hillman\HillRo00,DEN,0,0,0,0,0,0,0,0,,14,59,1,19,1,1,0,0,0,1,0
Juwan Thompson\ThomJu01,DEN,0,0,0,0,0,0,0,0,,1,3,0,3,0,0,0,0,0,0,0
Emmanuel Sanders\SandEm00,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,9,6,113,0,39,0,0
Owen Daniels\DaniOw00,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,48,0,12,0,0
Demaryius Thomas\ThomDe03,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,13,1,36,0,36,0,0
Vernon Davis\DaviVe00,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,10,0,6,0,0
Andre Caldwell\CaldAn00,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,8,1,4,0,0
Bennie Fowler\FowlBe00,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,8,0,8,0,0
Cody Latimer\LatiCo00,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,7,0,7,0,0
