Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Andy Dalton\DaltAn00,CIN,14,19,220,2,0,1,6,57,146.8,4,11,1,4,0,0,0,0,0,0,0
A.J. McCarron\McCaA.00,CIN,2,3,19,0,0,0,0,15,84.0,0,0,0,0,0,0,0,0,0,0,0
Jeremy Hill\HillJe01,CIN,0,0,0,0,0,0,0,0,,22,98,1,17,1,0,0,0,0,0,0
Giovani Bernard\BernGi00,CIN,0,0,0,0,0,0,0,0,,5,26,0,9,1,1,9,0,9,0,0
Mohamed Sanu\SanuMo00,CIN,0,0,0,0,0,0,0,0,,1,7,0,7,1,0,0,0,0,0,0
Rex Burkhead\BurkRe00,CIN,0,0,0,0,0,0,0,0,,1,2,0,2,2,1,4,0,4,0,0
A.J. Green\GreeA.00,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,128,1,57,0,0
Marvin Jones\JoneMa02,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,5,5,55,1,21,0,0
Tyler Kroft\KrofTy00,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,17,0,17,0,0
Mario Alford\AlfoMa00,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,15,0,15,0,0
Ryan Hewitt\HewiRy00,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,7,0,7,0,0
C.J. Uzomah\UzomC.00,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,4,0,4,0,0
Jake Fisher\FishJa00,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Brandon Tate\TateBr00,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Austin Davis\DaviAu00,CLE,25,38,230,0,1,3,25,24,71.2,3,4,0,8,0,0,0,0,0,1,1
Isaiah Crowell\CrowIs00,CLE,0,0,0,0,0,0,0,0,,11,62,0,23,1,1,2,0,2,0,0
Duke Johnson\JohnDu00,CLE,0,0,0,0,0,0,0,0,,5,2,0,5,4,4,30,0,10,0,0
Brian Hartline\HartBr00,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,11,8,83,0,18,0,0
Gary Barnidge\BarnGa01,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,8,5,59,0,24,0,0
Darius Jennings\JennDa00,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,35,0,16,0,0
Marlon Moore\MoorMa02,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,14,0,14,0,0
E.J. Bibbs\BibbE.00,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,7,0,7,0,0
Malcolm Johnson\JohnMa06,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Travis Benjamin\BenjTr00,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
