Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Matt Cassel\CassMa00,DAL,13,29,114,0,1,2,15,19,41.5,3,6,0,3,0,0,0,0,0,0,0
Darren McFadden\McFaDa00,DAL,0,0,0,0,0,0,0,0,,9,111,0,50,2,0,0,0,0,0,0
Robert Turbin\TurbRo00,DAL,0,0,0,0,0,0,0,0,,7,51,1,22,0,0,0,0,0,0,0
Lucky Whitehead\WhitLu00,DAL,0,0,0,0,0,0,0,0,,1,3,0,3,1,1,2,0,2,0,0
Jason Witten\WittJa00,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,9,5,40,0,10,0,0
Terrance Williams\WillTe01,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,38,0,19,0,0
Cole Beasley\BeasCo00,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,25,0,12,0,0
Dez Bryant\BryaDe01,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,6,1,9,0,9,0,0
Devin Street\StreDe00,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Aaron Rodgers\RodgAa00,GNB,22,35,218,2,0,2,13,24,99.5,3,27,0,16,0,0,0,0,0,0,0
Eddie Lacy\LacyEd00,GNB,0,0,0,0,0,0,0,0,,24,124,1,24,1,1,24,0,24,0,0
James Starks\StarJa00,GNB,0,0,0,0,0,0,0,0,,11,71,1,30,4,4,32,1,13,0,0
Randall Cobb\CobbRa00,GNB,0,0,0,0,0,0,0,0,,3,9,0,8,12,8,81,0,17,0,0
John Kuhn\KuhnJo00,GNB,0,0,0,0,0,0,0,0,,1,2,0,2,2,1,14,0,14,0,0
James Jones\JoneJa04,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,49,0,16,0,0
Davante Adams\AdamDa01,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,12,0,8,0,0
Richard Rodgers\RodgRi00,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,3,1,3,0,0
Justin Perillo\PeriJu00,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,3,0,3,0,0
Jared Abbrederis\AbbrJa00,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Scott Tolzien\TolzSc00,GNB,0,0,0,0,0,0,0,0,,2,-3,0,-1,0,0,0,0,0,0,0
