Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Drew Brees\BreeDr00,NOR,31,41,312,2,0,2,11,41,113.1,3,0,0,2,0,0,0,0,0,0,0
Tim Hightower\HighTi00,NOR,0,0,0,0,0,0,0,0,,28,85,1,12,1,1,10,0,10,0,0
C.J. Spiller\SpilC.00,NOR,0,0,0,0,0,0,0,0,,3,2,0,2,3,3,7,0,8,0,0
Willie Snead\SneaWi00,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,8,7,122,0,41,0,0
Ben Watson\WatsBe00,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,11,7,70,0,26,0,0
Marques Colston\ColsMa00,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,8,6,36,2,12,0,0
Brandon Coleman\ColeBr00,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,32,0,20,0,0
Brandin Cooks\CookBr00,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,29,0,14,0,0
Josh Hill\HillJo02,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,6,0,6,0,0
Marcus Murphy\MurpMa03,NOR,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0
Jameis Winston\WinsJa00,TAM,18,32,182,1,0,1,6,22,83.1,3,24,0,18,0,0,0,0,0,0,0
Doug Martin\MartDo00,TAM,0,0,0,0,0,0,0,0,,11,81,1,24,3,1,5,0,5,0,0
Charles Sims\SimsCh00,TAM,0,0,0,0,0,0,0,0,,5,10,0,6,8,6,64,0,14,0,0
Mike Evans\EvanMi00,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,39,0,22,0,0
Austin Seferian-Jenkins\SefeAu00,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,31,0,13,0,0
Cameron Brate\BratCa00,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,16,0,11,0,0
Donteea Dye\DyexDo00,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,16,0,16,0,0
Adam Humphries\HumpAd00,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,6,1,6,0,0
Vincent Jackson\JackVi00,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,5,0,5,0,0
