Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Blaine Gabbert\GabbBl00,SFO,18,28,194,1,0,9,44,24,96.4,3,19,0,11,0,0,0,0,0,1,0
Shaun Draughn\DrauSh00,SFO,0,0,0,0,0,0,0,0,,11,43,0,15,3,2,8,0,7,0,0
Travaris Cadet\CadeTr00,SFO,0,0,0,0,0,0,0,0,,2,6,0,4,2,2,28,0,16,0,0
Bruce Miller\MillBr02,SFO,0,0,0,0,0,0,0,0,,1,3,0,3,0,0,0,0,0,0,0
Blake Bell\BellBl00,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,49,0,24,0,0
Quinton Patton\PattQu00,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,9,5,46,0,13,0,0
Anquan Boldin\BoldAn00,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,22,0,14,0,0
Jerome Simpson\SimpJe00,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,20,1,14,0,0
Torrey Smith\SmitTo02,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,17,0,17,0,0
Brian Leonhardt\LeonBr01,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,4,0,4,0,0
Bruce Ellington\ElliBr00,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Johnny Manziel\ManzJo00,CLE,21,31,270,1,1,2,19,34,92.1,7,15,0,8,0,0,0,0,0,0,0
Isaiah Crowell\CrowIs00,CLE,0,0,0,0,0,0,0,0,,20,145,2,54,1,1,9,0,9,0,0
Duke Johnson\JohnDu00,CLE,0,0,0,0,0,0,0,0,,13,78,0,19,3,1,6,0,6,0,0
Brian Hartline\HartBr00,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,10,8,107,0,34,1,0
Gary Barnidge\BarnGa01,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,84,1,30,0,0
Travis Benjamin\BenjTr00,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,41,0,24,1,0
Marlon Moore\MoorMa02,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,23,0,12,0,0
Glenn Winston\WinsGl00,CLE,0,0,0,0,0,0,0,0,,1,-8,0,-8,0,0,0,0,0,1,1
