Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Cam Newton\NewtCa00,CAR,25,45,340,5,0,3,31,37,116.9,8,100,0,47,0,0,0,0,0,1,1
Cameron Artis-Payne\ArtiCa00,CAR,0,0,0,0,0,0,0,0,,14,59,0,26,2,2,34,0,20,0,0
Mike Tolbert\TolbMi00,CAR,0,0,0,0,0,0,0,0,,5,10,0,4,0,0,0,0,0,0,0
Fozzy Whittaker\WhitFo00,CAR,0,0,0,0,0,0,0,0,,2,2,0,2,2,2,14,0,9,0,0
Ted Ginn\GinnTe00,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,14,6,85,2,23,0,0
Greg Olsen\OlseGr00,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,8,6,79,1,37,0,0
Corey Brown\BrowPh00,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,51,1,20,0,0
Jerricho Cotchery\CotcJe00,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,47,0,16,0,0
Devin Funchess\FuncDe00,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,7,2,30,1,16,0,0
Eli Manning\MannEl00,NYG,29,46,245,4,1,0,0,40,96.7,1,4,0,4,0,0,0,0,0,0,0
Rashad Jennings\JennRa00,NYG,0,0,0,0,0,0,0,0,,16,107,1,38,3,1,0,0,0,1,1
Shane Vereen\VereSh00,NYG,0,0,0,0,0,0,0,0,,4,29,0,19,10,8,43,1,9,0,0
Andre Williams\WillAn00,NYG,0,0,0,0,0,0,0,0,,6,21,0,10,0,0,0,0,0,0,0
Odell Beckham\BeckOd00,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,9,6,76,1,40,1,0
Rueben Randle\RandRu00,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,47,1,27,0,0
Will Tye\TyexWi00,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,8,5,43,1,20,0,0
Myles White\WhitMy00,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,10,0,10,0,0
Hakeem Nicks\NickHa01,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,10,0,10,0,0
Dwayne Harris\HarrDw00,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,9,0,5,0,0
Jerome Cunningham\CunnJe00,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,7,0,7,0,0
