Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Jameis Winston\WinsJa00,TAM,29,50,363,2,1,0,0,44,85.7,2,5,0,5,0,0,0,0,0,1,1
Doug Martin\MartDo00,TAM,0,0,0,0,0,0,0,0,,18,91,0,17,2,1,6,0,6,0,0
Charles Sims\SimsCh00,TAM,0,0,0,0,0,0,0,0,,7,50,0,35,3,3,22,0,19,0,0
Mike Evans\EvanMi00,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,17,9,157,0,30,0,0
Adam Humphries\HumpAd00,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,6,6,60,0,14,0,0
Donteea Dye\DyexDo00,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,5,1,44,0,44,1,0
Austin Seferian-Jenkins\SefeAu00,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,29,1,13,0,0
Luke Stocker\StocLu00,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,25,1,14,0,0
Cameron Brate\BratCa00,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,20,0,8,0,0
Russell Shepard\ShepRu00,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
Case Keenum\KeenCa00,STL,14,17,234,2,0,2,13,60,158.0,3,-3,0,-1,0,0,0,0,0,0,0
Todd Gurley\GurlTo01,STL,0,0,0,0,0,0,0,0,,21,48,1,9,2,2,31,0,19,0,0
Tavon Austin\AustTa00,STL,0,0,0,0,0,0,0,0,,4,32,1,21,3,3,41,1,17,0,0
Tre Mason\MasoTr00,STL,0,0,0,0,0,0,0,0,,3,13,0,7,0,0,0,0,0,0,0
Benny Cunningham\CunnBe01,STL,0,0,0,0,0,0,0,0,,2,8,0,4,0,0,0,0,0,0,0
Kenny Britt\BritKe00,STL,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,71,1,60,0,0
Jared Cook\CookJa02,STL,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,64,0,25,0,0
Lance Kendricks\KendLa00,STL,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,27,0,11,0,0
Bradley Marquez\MarqBr00,STL,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
