Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Carson Palmer\PalmCa00,ARI,20,32,274,1,0,2,11,36,100.3,0,0,0,0,0,0,0,0,0,0,0
Drew Stanton\StanDr00,ARI,0,1,0,0,0,0,0,0,39.6,2,-2,0,-1,0,0,0,0,0,0,0
David Johnson\JohnDa08,ARI,0,0,0,0,0,0,0,0,,29,187,3,47,4,4,42,0,12,0,0
Kerwynn Williams\WillKe05,ARI,0,0,0,0,0,0,0,0,,6,34,0,18,1,1,12,0,12,0,0
Stepfan Taylor\TaylSt00,ARI,0,0,0,0,0,0,0,0,,2,11,0,10,0,0,0,0,0,0,0
Michael Floyd\FloyMi00,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,8,5,70,0,29,0,0
Darren Fells\FellDa01,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,54,0,36,0,0
Larry Fitzgerald\FitzLa00,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,43,0,20,0,0
John Brown\BrowJo02,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,9,3,38,1,19,0,0
Jaron Brown\BrowJa03,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,15,0,15,0,0
JJ Nelson\NelsJJ00,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Sam Bradford\BradSa00,PHI,28,41,361,2,2,2,11,78,91.6,1,4,0,4,0,0,0,0,0,1,1
Ryan Mathews\MathRy00,PHI,0,0,0,0,0,0,0,0,,11,58,0,20,2,1,3,0,3,1,1
Darren Sproles\SproDa00,PHI,0,0,0,0,0,0,0,0,,6,9,0,3,4,3,16,0,6,0,0
DeMarco Murray\MurrDe00,PHI,0,0,0,0,0,0,0,0,,2,3,0,2,0,0,0,0,0,0,0
Jordan Matthews\MattJo00,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,11,8,159,1,78,0,0
Zach Ertz\ErtzZa00,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,13,8,78,1,22,0,0
Josh Huff\HuffJo00,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,52,0,22,0,0
Brent Celek\CeleBr00,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,31,0,21,0,0
Riley Cooper\CoopRi00,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,22,0,15,0,0
Nelson Agholor\AghoNe00,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
