Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Peyton Manning\MannPe00,DEN,26,45,256,3,1,3,18,22,86.9,0,0,0,0,0,0,0,0,0,0,0
Ronnie Hillman\HillRo00,DEN,0,0,0,0,0,0,0,0,,9,34,0,16,1,0,0,0,0,0,0
C.J. Anderson\AndeC.00,DEN,0,0,0,0,0,0,0,0,,12,27,0,14,1,1,2,0,2,0,0
Demaryius Thomas\ThomDe03,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,14,8,116,0,22,0,0
Emmanuel Sanders\SandEm00,DEN,0,0,0,0,0,0,0,0,,1,0,0,0,14,8,87,2,19,0,0
Owen Daniels\DaniOw00,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,19,0,8,0,0
Jordan Norwood\NorwJo00,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,14,0,7,0,0
Virgil Green\GreeVi00,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,12,1,11,0,0
Andre Caldwell\CaldAn00,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,6,0,6,0,0
Alex Smith\SmitAl03,KAN,16,25,191,0,2,4,21,30,53.9,3,15,0,11,0,0,0,0,0,0,0
Jamaal Charles\CharJa00,KAN,0,0,0,0,0,0,0,0,,21,125,1,34,5,4,2,0,6,2,2
Knile Davis\DaviKn00,KAN,0,0,0,0,0,0,0,0,,3,9,1,8,1,0,0,0,0,0,0
Travis Kelce\KelcTr00,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,58,0,29,0,0
James O'Shaughnessy\O'ShJa00,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,54,0,30,0,0
De'Anthony Thomas\ThomDe05,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,20,0,12,1,1
Albert Wilson\WilsAl02,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Jeremy Maclin\MaclJe00,KAN,0,0,0,0,0,1,3,0,,1,-2,0,-2,7,4,57,0,30,0,0
