Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Russell Wilson\WilsRu00,SEA,19,30,206,2,1,2,1,32,91.8,10,78,0,17,0,0,0,0,0,0,0
Marshawn Lynch\LyncMa00,SEA,0,0,0,0,0,0,0,0,,15,41,0,11,6,3,21,0,12,0,0
Doug Baldwin\BaldDo00,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,8,7,92,1,32,0,0
Luke Willson\WillLu00,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,36,0,24,0,0
Tyler Lockett\LockTy00,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,17,0,17,0,0
Fred Jackson\JackFr02,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,16,1,11,1,1
Chris Matthews\MattCh00,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,13,0,13,0,0
Jimmy Graham\GrahJi00,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,11,0,11,0,0
Jermaine Kearse\KearJe01,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
Derrick Coleman\ColeDe00,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,0,0,0
Aaron Rodgers\RodgAa00,GNB,25,33,249,2,0,2,15,29,116.9,6,23,0,9,0,0,0,0,0,0,0
James Starks\StarJa00,GNB,0,0,0,0,0,0,0,0,,20,95,0,35,4,4,11,0,6,1,1
Eddie Lacy\LacyEd00,GNB,0,0,0,0,0,0,0,0,,3,9,0,8,0,0,0,0,0,0,0
Randall Cobb\CobbRa00,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,11,8,116,0,25,0,0
Ty Montgomery\MontTy01,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,37,0,17,0,0
Davante Adams\AdamDa01,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,5,5,33,0,13,0,0
James Jones\JoneJa04,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,29,1,29,0,0
Richard Rodgers\RodgRi00,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,23,1,9,0,0
