Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Blake Bortles\BortBl00,JAX,17,33,242,2,1,2,6,59,83.1,3,7,0,3,0,0,0,0,0,1,0
T.J. Yeldon\YeldT.00,JAX,0,0,0,0,0,0,0,0,,11,33,0,8,3,2,9,0,9,0,0
Toby Gerhart\GerhTo00,JAX,0,0,0,0,0,0,0,0,,3,10,0,5,0,0,0,0,0,0,0
Corey Grant\GranCo00,JAX,0,0,0,0,0,0,0,0,,2,6,0,4,2,1,8,0,8,0,0
Bernard Pierce\PierBe00,JAX,0,0,0,0,0,0,0,0,,1,1,0,1,3,2,3,0,6,0,0
Allen Hurns\HurnAl01,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,70,1,59,0,0
Allen Robinson\RobiAl02,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,9,4,68,0,37,0,0
Clay Harbor\HarbCl00,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,43,1,26,0,0
Bryan Walters\WaltBr00,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,28,0,23,0,0
Marqise Lee\LeexMa00,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,13,0,13,0,0
Marcedes Lewis\LewiMa00,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
Tom Brady\BradTo00,NWE,33,42,358,2,0,2,12,43,118.1,2,4,0,2,0,0,0,0,0,0,0
LeGarrette Blount\BlouLe00,NWE,0,0,0,0,0,0,0,0,,18,78,3,22,1,1,14,0,14,0,0
Dion Lewis\LewiDi00,NWE,0,0,0,0,0,0,0,0,,8,37,1,10,5,5,30,0,9,0,0
James White\WhitJa02,NWE,0,0,0,0,0,0,0,0,,2,8,0,5,4,4,26,0,11,0,0
Rob Gronkowski\GronRo00,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,101,0,43,0,0
Julian Edelman\EdelJu00,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,11,8,85,0,19,0,0
Danny Amendola\AmenDa00,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,5,5,39,1,12,0,0
Keshawn Martin\MartKe01,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,33,1,13,0,0
Scott Chandler\ChanSc00,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,25,0,17,0,0
Aaron Dobson\DobsAa00,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,5,0,5,0,0
Jimmy Garoppolo\GaroJi00,NWE,0,0,0,0,0,0,0,0,,2,-2,0,-1,0,0,0,0,0,0,0
