Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Philip Rivers\RivePh00,SDG,21,34,246,1,1,4,30,39,81.2,0,0,0,0,0,0,0,0,0,1,1
Kellen Clemens\ClemKe00,SDG,5,6,63,1,0,0,0,19,150.0,0,0,0,0,0,0,0,0,0,0,0
Melvin Gordon\GordMe00,SDG,0,0,0,0,0,0,0,0,,14,51,0,13,1,0,0,0,0,0,0
Branden Oliver\OlivBr01,SDG,0,0,0,0,0,0,0,0,,8,26,0,6,1,0,0,0,0,0,0
Danny Woodhead\WoodDa02,SDG,0,0,0,0,0,0,0,0,,5,11,0,7,4,3,32,0,22,0,0
David Johnson\JohnDa05,SDG,0,0,0,0,0,0,0,0,,1,2,0,2,0,0,0,0,0,0,0
Keenan Allen\AlleKe00,SDG,0,0,0,0,0,0,0,0,,0,0,0,0,18,12,133,2,34,0,0
Malcom Floyd\FloyMa00,SDG,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,63,0,39,0,0
Steve Johnson\JohnSt00,SDG,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,46,0,30,0,0
John Phillips\PhilJo00,SDG,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,35,0,15,0,0
Teddy Bridgewater\BridTe00,MIN,13,24,121,0,1,0,0,19,50.9,1,-1,0,-1,0,0,0,0,0,0,0
Adrian Peterson\PeteAd01,MIN,0,0,0,0,0,0,0,0,,20,126,2,43,0,0,0,0,0,0,0
Jerick McKinnon\McKiJe00,MIN,0,0,0,0,0,0,0,0,,6,18,0,9,1,0,0,0,0,0,0
Matt Asiata\AsiaMa00,MIN,0,0,0,0,0,0,0,0,,2,10,0,8,2,2,5,0,6,0,0
Cordarrelle Patterson\PattCo00,MIN,0,0,0,0,0,0,0,0,,1,9,0,9,0,0,0,0,0,0,0
Zach Line\LineZa01,MIN,0,0,0,0,0,0,0,0,,1,1,1,1,0,0,0,0,0,0,0
Mike Wallace\WallMi00,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,49,0,19,0,0
Jarius Wright\WrigJa02,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,28,0,17,0,0
Adam Thielen\ThieAd00,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,16,0,11,0,0
Kyle Rudolph\RudoKy00,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,14,0,10,0,0
Charles Johnson\JohnCh08,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,9,0,9,0,0
MyCole Pruitt\PruiMy00,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
